username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
hellisanny,,False,,1,clinicaimedconfresa.csv,2025-08-02,9
marcelyafarizelli,,False,,1,clinicaimedconfresa.csv,2025-08-02,2
luanahack_,,False,,1,clinicaimedconfresa.csv,2025-08-02,2
glaucyaesther,,False,,1,clinicaimedconfresa.csv,2025-08-02,4
maiyara.quiel,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
clevia_ribeiro,,False,,1,clinicaimedconfresa.csv,2025-08-02,5
estefane_silva1803,,False,,1,clinicaimedconfresa.csv,2025-08-02,3
anatania91,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
clinicaimedconfresa,,False,,1,clinicaimedconfresa.csv,2025-08-02,2
_jussaramacedo_,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
eniogomessantos,,False,,1,clinicaimedconfresa.csv,2025-08-02,2
cleasouza2024,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
keyllasilva240,,False,,1,clinicaimedconfresa.csv,2025-08-02,2
yessa_sindhey,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
anabeatriz_masson,,False,,1,clinicaimedconfresa.csv,2025-08-02,15
daniimidias,,False,,1,clinicaimedconfresa.csv,2025-08-02,16
ph155895,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
zana_lima_,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
erinaldo.gg,,False,,1,clinicaimedconfresa.csv,2025-08-02,8
valcienisoares,,False,,1,clinicaimedconfresa.csv,2025-08-02,13
cleonicesilva809,,False,,1,clinicaimedconfresa.csv,2025-08-02,1
brandcaremarketingmedico,brandcaremarketingmedico,False,Seguir,1,clinicavidacfs.csv,2025-08-02,62
alaricomello,alaricomello,False,Seguir,1,clinicavidacfs.csv,2025-08-02,51
veronica_aquino6,veronica_aquino6,False,Seguir,1,clinicavidacfs.csv,2025-08-02,21
draannaleticiamello,draannaleticiamello,False,Seguir,1,clinicavidacfs.csv,2025-08-02,51
draannaclaudia,draannaclaudia,False,Seguir,1,clinicavidacfs.csv,2025-08-02,18
naimouraas,naimouraas,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
daiseassis,daiseassis,False,Seguir,1,clinicavidacfs.csv,2025-08-02,26
lcamposlima,lcamposlima,False,Seguir,1,clinicavidacfs.csv,2025-08-02,86
adrianamypy,adrianamypy,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
dra.danilaassis,dra.danilaassis,False,Seguir,1,clinicavidacfs.csv,2025-08-02,132
val6_687,val6_687,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
hm.inteligencia_imobiliaria,hm.inteligencia_imobiliaria,False,Seguir,1,clinicavidacfs.csv,2025-08-02,16
eujoaomachado,eujoaomachado,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
jennifersmarinho,jennifersmarinho,False,Seguir,1,clinicavidacfs.csv,2025-08-02,9
clinicavidacfs,clinicavidacfs,False,Seguir,1,clinicavidacfs.csv,2025-08-02,25
kmledmidia,kmledmidia,False,Seguir,1,clinicavidacfs.csv,2025-08-02,33
theograssel,theograssel,False,Seguir,1,clinicavidacfs.csv,2025-08-02,14
crivomarketing,crivomarketing,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
geraldo.aguiar.98,geraldo.aguiar.98,False,Seguir,1,clinicavidacfs.csv,2025-08-02,6
_pedrobusin,_pedrobusin,False,Seguir,1,clinicavidacfs.csv,2025-08-02,18
jeybatista.cilios,jeybatista.cilios,False,Seguir,1,clinicavidacfs.csv,2025-08-02,6
ana_caroline_gomes_moreira,ana_caroline_gomes_moreira,False,Seguir,1,clinicavidacfs.csv,2025-08-02,30
cleidecfs2020,cleidecfs2020,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
larrozak_,larrozak_,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
pointdosaborcfs,pointdosaborcfs,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
clinicavitanx,clinicavitanx,False,Seguir,1,clinicavidacfs.csv,2025-08-02,11
karlodovalle,karlodovalle,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
luceliamiranda2015,luceliamiranda2015,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
joseane_1azevedo,joseane_1azevedo,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
tha__clark,tha__clark,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
nalandamedina,nalandamedina,False,Seguir,1,clinicavidacfs.csv,2025-08-02,10
atendimentobcr,atendimentobcr,False,Seguir,1,clinicavidacfs.csv,2025-08-02,26
fernandafonsseca,fernandafonsseca,False,Seguir,1,clinicavidacfs.csv,2025-08-02,9
dilma6194,dilma6194,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
edilenenunesdossantoscosta,edilenenunesdossantoscosta,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
divina_barros,divina_barros,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
dra.daiseassis,dra.daiseassis,False,Seguir,1,clinicavidacfs.csv,2025-08-02,18
suizasabino,suizasabino,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
ccdraannaleticiamello,ccdraannaleticiamello,False,Seguir,1,clinicavidacfs.csv,2025-08-02,58
imunnizavacinasmt,imunnizavacinasmt,False,Seguir,1,clinicavidacfs.csv,2025-08-02,57
malonfernandes,malonfernandes,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
fabiojrsd,fabiojrsd,False,Seguir,1,clinicavidacfs.csv,2025-08-02,22
fabioalopes,fabioalopes,False,Seguir,1,clinicavidacfs.csv,2025-08-02,24
maiconcesar9203,maiconcesar9203,False,Seguir,1,clinicavidacfs.csv,2025-08-02,26
redebemdrogariascfs,redebemdrogariascfs,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
rosangelacosta.adv,rosangelacosta.adv,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
valemarketing360,valemarketing360,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
suellemturibio,suellemturibio,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
greenmedicalservice,greenmedicalservice,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
marliptavares_,marliptavares_,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
mariaherlaine,mariaherlaine,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
marciapaulam,marciapaulam,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
bigmoveismt,bigmoveismt,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
aurilene.almeida.148,aurilene.almeida.148,False,Seguir,1,clinicavidacfs.csv,2025-08-02,29
mariadelourdesribeiro15,mariadelourdesribeiro15,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
elizabeth_almeida77,elizabeth_almeida77,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
kellencristinem,kellencristinem,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
marianegomes222,marianegomes222,False,Seguir,1,clinicavidacfs.csv,2025-08-02,8
camila_rf2024,camila_rf2024,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
matheusarrudademiranda,matheusarrudademiranda,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
zenilda.freitaas,zenilda.freitaas,False,Seguir,1,clinicavidacfs.csv,2025-08-02,21
dra.vaniamoraes,dra.vaniamoraes,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
henriquewsg,henriquewsg,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
denise20_silva,denise20_silva,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
raqueldinizc,raqueldinizc,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
willlpires,willlpires,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
kesiamendeskm,kesiamendeskm,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
karolinevz,karolinevz,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
calyta_c,calyta_c,False,Seguir,1,clinicavidacfs.csv,2025-08-02,37
emilaynigoncalves,emilaynigoncalves,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
magnetica.sr,magnetica.sr,False,Seguir,1,clinicavidacfs.csv,2025-08-02,11
ripsurgical,ripsurgical,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
bellapizzariacfs,bellapizzariacfs,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
solangejoiasmt,solangejoiasmt,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
ft.hyanemenezes,ft.hyanemenezes,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
kuro_okamy_skt,kuro_okamy_skt,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
regiserafim20,regiserafim20,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
marciazilber,marciazilber,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
biserrabarbosa,biserrabarbosa,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
leidemacedo20,leidemacedo20,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
rosecrecia_silva,rosecrecia_silva,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
eduardo_alves028,eduardo_alves028,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
nune.mariaaparecida,nune.mariaaparecida,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
missionariajessicasanttos,missionariajessicasanttos,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
helenamariabarbosa01,helenamariabarbosa01,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
aipededelivery.cfs,aipededelivery.cfs,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
elizabethalmeida5281,elizabethalmeida5281,False,Seguir,1,clinicavidacfs.csv,2025-08-02,9
drafernandabreu,drafernandabreu,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
maycon_wfds,maycon_wfds,False,Seguir,1,clinicavidacfs.csv,2025-08-02,20
cleidesribeiro9415,cleidesribeiro9415,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
jaianeefiori,jaianeefiori,False,Seguir,1,clinicavidacfs.csv,2025-08-02,5
paulohenriqueferreiradeo,paulohenriqueferreiradeo,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
henriq9407,henriq9407,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
jackson_fonseca96,jackson_fonseca96,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
oliveira.aguiar10,oliveira.aguiar10,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
eucamylinha09,eucamylinha09,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
rafaella_carulyna,rafaella_carulyna,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
teofilo.alessandra,teofilo.alessandra,False,Seguir,1,clinicavidacfs.csv,2025-08-02,21
viviane12fm,viviane12fm,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
janainavieira_25,janainavieira_25,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
liiah_maciel,liiah_maciel,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
kamila_borges2022,kamila_borges2022,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
ricardomacedodf,ricardomacedodf,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
edir.mendes.da.silva,edir.mendes.da.silva,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
lusdeide,lusdeide,False,Seguir,1,clinicavidacfs.csv,2025-08-02,7
tayanedesousatayane,tayanedesousatayane,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
lindauramcampos,lindauramcampos,False,Seguir,1,clinicavidacfs.csv,2025-08-02,4
cladilene_nobre,cladilene_nobre,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
karyne_tavares_,karyne_tavares_,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
pg_artesepinturas,pg_artesepinturas,False,Seguir,1,clinicavidacfs.csv,2025-08-02,1
yasmim_paloma,yasmim_paloma,False,Seguir,1,clinicavidacfs.csv,2025-08-02,3
pedrogpr0001,pedrogpr0001,False,Seguir,1,clinicavidacfs.csv,2025-08-02,6
vaniamoraes217,vaniamoraes217,False,Seguir,1,clinicavidacfs.csv,2025-08-02,9
jaine.gf,jaine.gf,False,Seguir,1,clinicavidacfs.csv,2025-08-02,2
