data_post,texto_post,username_curtiu,nome_completo_curtiu,verificado,url_foto_perfil,status_relacao
2025-09-01T21:41:04.000Z,,luanalbrito_,luanalbrito_,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/437116516_1812097049259249_9184493227300199560_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NzYuYzIifQ&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=dZZBHHi4AGsQ7kNvwFsYXkB&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfaBULvIP52htU7Yq8287SPOgkKgq64gz_5ID1n9hb3sUQ&oe=68BF6841&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,samyyvic,samyyvic,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/517404476_17973298613911138_593100172478800171_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=DO1TVhDOhFQQ7kNvwG_ymXZ&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfYXc2tyu2_rNYWO0LN4sF_5F01T9LOW8en1nI-esmfMGw&oe=68BF3881&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,douglas_a_m,douglas_a_m,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/467551266_1494201764607177_18218718459554387_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=inOOvvFIdxYQ7kNvwHWV-bE&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfZPIlyVbCJj27kEke9HKnQBcD0XIgSHgOsFd4p9WMOr-Q&oe=68BF3FB9&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,amandfilha,amandfilha,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/519494572_18292660828247373_8733342902863984566_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=n2Mp5NV3FIwQ7kNvwFYy8SO&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_Afbbc_zNW_lTvt8NiDg0nCJKhLhiOfKIuC_GzqWzLfVWFw&oe=68BF3EAE&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,sabrina.sousaf_,sabrina.sousaf_,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/498678509_18287463151270805_4845192482671224681_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=LLoVjOUm7FQQ7kNvwFIvgg7&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfYJ8qlBhuH4-kj_dUyOn-b2yQlP79cpgcv0sRF_h_vP_w&oe=68BF522B&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,gabriellascq,gabriellascq,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/539838588_18235359208292004_1697507088341288814_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=IL-EgWbkTfUQ7kNvwGDIfTK&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfYyiLUb3BUV5J7NPbWM__mY3ghGaBQK60cVsrdHre0HRw&oe=68BF4437&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,lubia.siqueira,lubia.siqueira,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/490361485_655306847370207_1745090830208409742_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=NZwmM1BaH-wQ7kNvwGt9vxA&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfaQvGP0igD8ohsrxsfiF7mWz5UP4LYxfGx67BFTa5gJVw&oe=68BF6807&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,lamps.afya,lamps.afya,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/386900587_3665358647044903_7385148689559369517_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NzIuYzIifQ&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=51oHagi7rEoQ7kNvwHRvT9P&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfZ7CX_GJEOonUL6Buhon5Ai9EfIifU1n8Vim5CpwRQLWg&oe=68BF473B&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,fonoaudiologia_unitop,fonoaudiologia_unitop,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/295266192_1340984286433569_5166578396350507392_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDU0LmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=wc8eJ_KwuMYQ7kNvwGsteSW&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_AfYDcgo9LwBaQMoWpkGfV1AmkyJUTRtGqmBndD5-xGGNhg&oe=68BF53F7&_nc_sid=ae056e,Seguir
2025-09-01T21:41:04.000Z,,lageagnes,lageagnes,False,https://instagram.fpmw7-1.fna.fbcdn.net/v/t51.2885-19/461742653_546840894997066_8031348502183934887_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw7-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHfCKLm8di0H3DrkaHFaqRPsnEGUmmDfrdoR_0FD5kBG9CWpcLAKhzmP1YxtTQq6t0&_nc_ohc=JfjnufuaAGUQ7kNvwGSEb0y&_nc_gid=VQIk2TKba1VYEWpKUr3s4w&edm=ABDp2nEBAAAA&ccb=7-5&oh=00_Afatv5ecZZyA-5LAY6gDcZEd798yVUdrH9I5qbITnVHQBA&oe=68BF3AA4&_nc_sid=ae056e,Seguir
