data_post,texto_post,username_curtiu,nome_completo_curtiu,verificado,url_foto_perfil,status_relacao
2025-07-31T14:22:09.000Z,,rosamariamontechiesi,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/476888698_994106479266032_1662428559886103700_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDU2LmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=cdNlpGHxWMUQ7kNvwFKZeeT&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQQC9KhobzHKUlRetRKtwn7yICuzs7f02bb657Enpidgg&oe=6893DA2F&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,carmensilvia800,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/439936570_1091391282143645_6550135256070182118_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zNjguYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=Aze-pq7i09gQ7kNvwFf9Rrj&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTLvRhV3Q_5ftxqzqpOq9WvCa8SY4yo-g09-l55DYbCbA&oe=6893F0A4&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,patricia_mauricio_,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/487568124_982715857299243_8594249304595338682_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NjQuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=afPw0NJpw9YQ7kNvwFqQZy9&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRXoniwHF3eKVc1E6AHQfNkmP3vNevJL841HS0BdhMD0w&oe=6893DDC3&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,andrea.leal61,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/355423590_1949717578730325_1757914310178577650_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NjMuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=hrzq2BQ9lacQ7kNvwFFAjHv&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSEDz6Xlw57oxhja_OtO9uXSe2G65EB4WXtappkwH7nTg&oe=6893D476&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,rosaniarainha,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/271334119_1264563530732195_1145914645225734207_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MDguYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=As3X4JzBAzsQ7kNvwGBQad_&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ6JrfKJ5zu9r-IByozMx-kuehX9wzVTz45EuLiBJlWig&oe=6893CCCB&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,wellington.reis.58958343,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/524407716_18332795755202696_5001897525924869398_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=5elR6GsJMvIQ7kNvwGpOFEf&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRszIqUza-tTUvjJqwIxcc2Bfga5PdszUOEtHwQ2g8vdA&oe=6893C8CC&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,giselelimonge,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/146929413_1060038124504604_3574250394342412691_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=-Dgx4Nkyh4UQ7kNvwHYAXhB&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfR3tPYtvwl8OJscH3dBA96g2Ng2PwpadrnCK3NK8aF05Q&oe=6893EE29&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,telmaguima2,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/124024118_117773053301126_2504456005848822785_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NTMuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=djhw1JWrcDEQ7kNvwErKBIn&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTqJ7Um2v8Recklu6kS8saKjFG-YOJkpygs8-QY7V9P6Q&oe=6893DB28&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,kamilla.azeredo,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/440928057_905010514732811_8237257687687535420_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=fou93oqvDGEQ7kNvwFwwGFU&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTSPPUTsVRzkme3p0syx4i0wsZQ8HnrPJO9-BH8qHwwRg&oe=6893D7D5&_nc_sid=8809c9,
2025-07-31T14:22:09.000Z,,lucinetesousapires,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/450502311_1441046313216754_8377692580867003671_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTcuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QFtdECXtJs9sDD0BuP7SqJBTZOj9QUqc2_zy8FbgkXISAvSeQjHeFABXUAKxU3tWgY&_nc_ohc=VQMHI9Q4neYQ7kNvwEg5dA0&_nc_gid=-_viHKNfnBGTEntMCSbVdg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSBThiuT3vgvj_xLcLspOTv0sLQPtfDjg8HGv4r3xl6JA&oe=6893E637&_nc_sid=8809c9,
