username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
eduardoairesadvogado,eduardoairesadvogado,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,advogado
raggiekennedyadvogados,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,advogado
lucassantosadvogado_,lucassantosadvogado_,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,advogado
costaefranca_advogados,costaefranca_advogados,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,advogado
carlosrrf.advocacia,carlosrrf.advocacia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,advogado
magaiveradvogado,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,advogado
aireseabreuadvogados,Aireseabreuadvogados,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,6,advogado
viviane_advocacia,Viviane_Advocacia,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,advogado
kasoadvocacia,kasoadvocacia,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso.csv,2025-08-28,3,advogado
hpbadvogados,hpbadvogados,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,advogado
