username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
barbeirosergio_,barbeirosergio_,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
bruno_barbeiro.0,bruno_barbeiro.0,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
barbearia_loshermanossss,barbearia_loshermanossss,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
wesleybarbeiro_ofc,wesleybarbeiro_ofc,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
adelvanbarbeiro,adelvanbarbeiro,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
barbeiro_rota_dk,barbeiro_rota_dk,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
barbeironilson_jr,barbeironilson_jr,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,barbeiro
jheyson_barbeiro,Jheyson_Barbeiro,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,barbeiro
barbeariadocabelo,Barbeariadocabelo,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,barbeiro
barbearia_andrade___,Barbearia_Andrade___,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,barbeiro
barbeariashalom2025,barbeariashalom2025,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,barbeiro
tefinha_barbearia,tefinha_barbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariacapital2024,barbeariacapital2024,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeiro.athos,barbeiro.athos,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariajk_since2017,barbeariajk_since2017,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
jaazielbarbeiro,jaazielbarbeiro,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
dnbarbeiro063,dnbarbeiro063,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
dcortes_barbearia,dcortes_barbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
lucas_barbearia23,lucas_barbearia23,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariapmw2024,barbeariapmw2024,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
srrbarbearia,srrbarbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
jk_barbearia011,jk_barbearia011,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
borge_barbearia,borge_barbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariajl2013,barbeariajl2013,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
wa_routebarbearia,wa_routebarbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
rhuanbarbeiro,rhuanbarbeiro,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
lucasbarbeiropmw,lucasbarbeiropmw,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbearia_do_josimar,barbearia_do_josimar,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariafortunacity,barbeariafortunacity,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
igor_barbeiro_rdx,igor_barbeiro_rdx,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeiroandersonbrito,barbeiroandersonbrito,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
obarbeirojunior,obarbeirojunior,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
umbarbeiroemportugal,umbarbeiroemportugal,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeiro_gabrieljorge,barbeiro_gabrieljorge,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariastudio_e,barbeariastudio_e,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeiroguilh3rme,barbeiroguilh3rme,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariadavicarmo,barbeariadavicarmo,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
garagehall.barbearia,garagehall.barbearia,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbearia_caiquecortes,barbearia_caiquecortes,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariaolimpopalmas,barbeariaolimpopalmas,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
anderson_barbeiro.oficial,anderson_barbeiro.oficial,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
cirilobarbeiro,cirilobarbeiro,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeirowashington_,barbeirowashington_,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
luccasbarbeiro2023,luccasbarbeiro2023,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
gabrielll_barbeiro,gabrielll_barbeiro,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
formandobarbeiros,formandobarbeiros,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
barbeariasaintgermain,barbeariasaintgermain,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,barbeiro
