username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
clinicamedica.bolwerk,clinicamedica.bolwerk,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,clinica
clinicalider.sst,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,clinica
clinicadraleticiakarolline,clinicadraleticiakarolline,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,5,clinica
clinicarafaelasena,clinicarafaelasena,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,clinica
clinicarosysantos,clinicarosysantos,False,Seguir,1,curtidas_completo_edianemarinho_.csv,2025-08-28,5,clinica
clinicakatiuciaandrade,clinicakatiuciaandrade,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,clinica
clinicarennovecolinas,clinicarennovecolinas,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,clinica
clinicaimedconfresa,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicavidacfs,clinicavidacfs,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicavitanx,clinicavitanx,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicamedicasaosebastiao,clinicamedicasaosebastiao,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicaimedcfs,clinicaimedcfs,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
policlinicasantacruz,policlinicasantacruz,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
aclinicadacolunaa,aclinicadacolunaa,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicabernacchi,clinicabernacchi,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
adriaclinica,adriaclinica,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicahumanizamt,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinicaagape.nmv,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,clinica
clinica.realize,Clinica.Realize,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,clinica
clinicaviroli,Clinicaviroli,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,3,clinica
clinicaarenovare,Clinicaarenovare,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,clinica
clinicaveterinariavetlord,clinicaveterinariavetlord,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,clinica
clinicaiupi,clinicaiupi,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,clinica
clinicanataliaoliveira,clinicanataliaoliveira,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,clinica
clinicajanayna.escobar,clinicajanayna.escobar,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,clinica
clinica_eliane_azevedo,clinica_eliane_azevedo,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,clinica
leila_topclinica,leila_topclinica,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,clinica
clinicavozdomandacaru,clinicavozdomandacaru,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,2,clinica
clinicaapaeparaiso,clinicaapaeparaiso,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,clinica
clinicalaynnagyordane,clinicalaynnagyordane,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,clinica
clinicaagil,clinicaagil,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,clinica
clinicasaorafael.palmas,clinicasaorafael.palmas,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,clinica
clinicaconstantesante,clinicaconstantesante,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,clinica
