username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
muriel.contadora,muriel.contadora,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,contador
contador_leonardosoares,contador_leonardosoares,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,contador
contadora.thaisbandeira,contadora.thaisbandeira,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,contador
evoluti_contabilidade,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,contador
oallancontador,oallancontador,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,contador
contador_tkd1974,,False,,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,contador
joice.contadora,,False,,1,curtidas_completo_edianemarinho_.csv,2025-08-28,7,contador
laisacontadora,laisacontadora,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
alinemenezes.contadora,alinemenezes.contadora,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
walbenialemos_contadora,walbenialemos_contadora,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
davicontador96,davicontador96,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
contadora.tocantinense,contadora.tocantinense,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
fabriciotrbcontador,fabriciotrbcontador,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
diegoo.contador,diegoo.contador,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
jesiany_mirandacontadora,jesiany_mirandacontadora,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
jaquescontador,jaquescontador,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
contadoradeyse,contadoradeyse,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
bruna.contadorafs,bruna.contadorafs,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
flavia.araujo.contadora,flavia.araujo.contadora,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
contabilidade.camargo1,contabilidade.camargo1,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,contador
wezeleycontador,wezeleycontador,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,contador
juliocesar.contabilidade,Juliocesar.Contabilidade,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,5,contador
kedma_contadora,Kedma_Contadora,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,contador
alivecontabilidade,Alivecontabilidade,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,3,contador
millenniumcontabilidade,Millenniumcontabilidade,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,contador
dmccontabilidade,Dmccontabilidade,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,contador
ceicinhasilva.contadora,ceicinhasilva.contadora,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,contador
normandes_contador,normandes_contador,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,contador
elaineacacio.contadora,elaineacacio.contadora,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,contador
contadorkassiovr,contadorkassiovr,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,contador
contadororlean,contadororlean,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,contador
contadora_sayonarasantos,contadora_sayonarasantos,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,contador
ceilanecontadora,ceilanecontadora,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,contador
citiuscontadores,citiuscontadores,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,contador
