username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
dra.harandaribeiro,dra.harandaribeiro,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,7,dr
dra.paulajuca,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,dr
alessandra.vieira.549,alessandra.vieira.549,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
dra.yasmincaroline,dra.yasmincaroline,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
sandra.figueira.12,sandra.figueira.12,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
dra.alineiacovone,dra.alineiacovone,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
__alessandra.oliveira,__alessandra.oliveira,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
prof.dra._ewandelina,prof.dra._ewandelina,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,dr
dra.leticiak,dra.leticiak,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,dr
dra.mayraalmeida,dra.mayraalmeida,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,dr
dra.anabarrosc,dra.anabarrosc,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,6,dr
dra.rosimardonascimento,dra.rosimardonascimento,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,dr
dra.thaysakegler,dra.thaysakegler,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,dr
dra.isarodriigues,dra.isarodriigues,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,4,dr
dra.andrielymiranda,dra.andrielymiranda,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,3,dr
dra.larissemachado,dra.larissemachado,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,4,dr
dra.geyssalisboa_,dra.geyssalisboa_,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.larissabandeiraa,dra.larissabandeiraa,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.carolcabrall,dra.carolcabrall,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,4,dr
dra.kaohanafranco,dra.kaohanafranco,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.paulaeduarda,dra.paulaeduarda,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.geovanaferoli,dra.geovanaferoli,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.tatiele_r.andrade,dra.tatiele_r.andrade,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.taynarabueno,dra.taynarabueno,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.aquilaafonso,dra.aquilaafonso,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
dra.geycianearaujo,dra.geycianearaujo,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,dr
