username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
jeanysilveira.estetica,jeanysilveira.estetica,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,esteticista
yanag_estetica,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,esteticista
perfectclean_esteticaautorr,perfectclean_esteticaautorr,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,esteticista
alinesantos_estetica_,alinesantos_estetica_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,esteticista
esteticaessencia_maiaramoreira,esteticaessencia_maiaramoreira,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,esteticista
esteticavilmaluz,esteticavilmaluz,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,esteticista
esteticafacialacademy,esteticafacialacademy,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,esteticista
esteticistalynnejessika4,esteticistalynnejessika4,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,esteticista
estudio.bella_estetica,estudio.bella_estetica,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,esteticista
franciele.esteticanatural,franciele.esteticanatural,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,esteticista
esteticaamaliacristina,esteticaamaliacristina,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,esteticista
libiarosaestetica,libiarosaestetica,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
neide.estetica_,neide.estetica_,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
maysa_epiladora_estetica,maysa_epiladora_estetica,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
esteticadaclaureni,esteticadaclaureni,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
jf_esteticacomleveza,jf_esteticacomleveza,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
xavierestetica_,xavierestetica_,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
sandramouraesteticista,sandramouraesteticista,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
adeane.estetica.jovem,adeane.estetica.jovem,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
gessicalira_belezaeestetica,gessicalira_belezaeestetica,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
sabrina_esteticasv,sabrina_esteticasv,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
esteticistaamandacardoso,esteticistaamandacardoso,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
tatianemoura_estetica,tatianemoura_estetica,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,esteticista
