username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
fisio.henrique,fisio.henrique,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
fisio.antoniosamuel,fisio.antoniosamuel,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
dinholinsfisio,dinholinsfisio,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
ruthcleafisioterapeutapvh,ruthcleafisioterapeutapvh,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
leticiapaes.fisioterapia,leticiapaes.fisioterapia,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
tati_funcional_e_fisio,tati_funcional_e_fisio,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
colucci_fisio,,False,,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fisioterapeuta
larissasilveira.fisio,larissasilveira.fisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
tyago_lopesfisio,tyago_lopesfisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,4,fisioterapeuta
ritjardimfisio,ritjardimfisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,fisioterapeuta
fisiokeylla,fisiokeylla,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,fisioterapeuta
dra.elainereginafisio,dra.elainereginafisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,5,fisioterapeuta
daramarinho.fisio,daramarinho.fisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,fisioterapeuta
saude_ergofisio,saude_ergofisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
dradhonayarafisioterapeuta,dradhonayarafisioterapeuta,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
fisiodanilocavalcante,fisiodanilocavalcante,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,2,fisioterapeuta
flofisiopelvica,flofisiopelvica,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
fisio.em.familia,fisio.em.familia,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
alexmagalhaesfisio,alexmagalhaesfisio,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,fisioterapeuta
erica_silvafisio,erica_silvafisio,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,4,fisioterapeuta
andriellecosta.fisioterapeuta,andriellecosta.fisioterapeuta,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,fisioterapeuta
patricia_lelisfisio,patricia_lelisfisio,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
fisiocintiavilanova,fisiocintiavilanova,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
fisiovitoria_,fisiovitoria_,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
j.victormendes.fisio,j.victormendes.fisio,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
tamiresbritofisio,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
dra.ivaneide_fisio,dra.ivaneide_fisio,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
amandafisioterapeuta.recife,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
fisio.simonearando,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
fisiomichelbelmonte,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
fisiocamillamoreira,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fisioterapeuta
