username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
danyelazevedofotografo,danyelazevedofotografo,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,fotografo
osieliane_fotografia,osieliane_fotografia,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,fotografo
paty_martinsfotografia,paty_martinsfotografia,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fotografo
corrohgomes.fotografo,corrohgomes.fotografo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fotografo
carlinhosfariasfotografias,carlinhosfariasfotografias,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,fotografo
jonathasnelesfotografia,jonathasnelesfotografia,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,4,fotografo
arlete.fotografia,arlete.fotografia,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,fotografo
isabarrosfotografia,isabarrosfotografia,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,2,fotografo
angelicasoaresfotografia,angelicasoaresfotografia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
eliasrodriguesfotografo,eliasrodriguesfotografo,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
dayaramotafotografia,dayaramotafotografia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
ke_souza_fotografias,ke_souza_fotografias,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
niloliveirafotografia,niloliveirafotografia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
naldoviegasfotografia,naldoviegasfotografia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
proszowski_fotografia,proszowski_fotografia,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
fotografo_valdeir,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,fotografo
eddiesantosfotografo,Eddiesantosfotografo,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,fotografo
fotografo_cai,fotografo_cai,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,fotografo
graciellefotografia,graciellefotografia,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,fotografo
rubenssantos_fotografia,rubenssantos_fotografia,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,fotografo
ffotografia4,ffotografia4,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,fotografo
