username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
geovanacunhas,geovanacunhas,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,manicure_pedicure
leilaateliedasunhas,leilaateliedasunhas,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,manicure_pedicure
agdaesmalteria,agdaesmalteria,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,manicure_pedicure
vanessalima.unhas,vanessalima.unhas,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,manicure_pedicure
bluesmalteria_iris,bluesmalteria_iris,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,manicure_pedicure
jucynogueira_unhas_,jucynogueira_unhas_,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,manicure_pedicure
carollindasunhas,carollindasunhas,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,manicure_pedicure
claudiamagalhaes_unhas,claudiamagalhaes_unhas,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,manicure_pedicure
esmalteria.kauanne_luz,esmalteria.kauanne_luz,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
poli_pockt.unhas,poli_pockt.unhas,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
unhasecuidados.danielamota,unhasecuidados.danielamota,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
unhastumblr2020,unhastumblr2020,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
amanda_manicure24,amanda_manicure24,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
gessicafernandes_manicure,gessicafernandes_manicure,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
mariamanicure44,mariamanicure44,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
edilainesilvaunhas,edilainesilvaunhas,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
unhas.fashionn,unhas.fashionn,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
_unhasdanat,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,manicure_pedicure
deuzanetharteeunhas,Deuzanetharteeunhas,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,manicure_pedicure
estudio_guida_manicurepedecure,Estudio_Guida_Manicurepedecure,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,6,manicure_pedicure
marcia_alves_manicure,marcia_alves_manicure,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso.csv,2025-08-28,3,manicure_pedicure
dayaneateliedeunhas,Dayaneateliedeunhas,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,manicure_pedicure
sinoyldes_manicure_,Sinoyldes_Manicure_,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,manicure_pedicure
esmalteriafiorella,Esmalteriafiorella,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,manicure_pedicure
gleicianecunhasilva,gleicianecunhasilva,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,manicure_pedicure
jailmaoliveiraunhas,jailmaoliveiraunhas,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,manicure_pedicure
isa_manicure_e_desing,isa_manicure_e_desing,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,manicure_pedicure
jusciellemmanicure,jusciellemmanicure,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,manicure_pedicure
weldadesignercilioseunhas,weldadesignercilioseunhas,False,Seguir,1,seguidores_enriquecido_implantus.co.csv,2025-08-28,1,manicure_pedicure
