username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
dr.fernandomorais,dr.fernandomorais,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4,medico
dr.rafaelantonio,dr.rafaelantonio,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,medico
dr.gilsongama,dr.gilsongama,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,medico
pedr.opiresalves,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,medico
dr.alexneves,dr.alexneves,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,medico
dr.evaniosousa,dr.evaniosousa,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,medico
ghzin._.dr,ghzin._.dr,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,medico
paivadesantanapedr,paivadesantanapedr,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,medico
dr.rildao,dr.rildao,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,medico
giovanaandr,giovanaandr,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,medico
dr.isaiasjunior,dr.isaiasjunior,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,medico
dr.glautiumgabriel,dr.glautiumgabriel,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,medico
dr.rafaelfonsecaa,dr.rafaelfonsecaa,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,medico
dr.marcosbruno,dr.marcosbruno,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,medico
dr.gabrielbraz,dr.gabrielbraz,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,medico
eduardomenezesdr,,False,,1,curtidas_completo_edianemarinho_.csv,2025-08-28,1,medico
andr.essa_milhomem,andr.essa_milhomem,False,Seguir,1,curtidas_completo_joycekarolina_naildesigner.csv,2025-08-28,1,medico
ludimyllaandr,ludimyllaandr,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,medico
dr.gustavo01,dr.gustavo01,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,medico
marcos_leandr,marcos_leandr,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,medico
dr.adm.antoniojorge,dr.adm.antoniojorge,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,6,medico
brandcaremarketingmedico,brandcaremarketingmedico,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.leo_moreira,dr.leo_moreira,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.lourencosouza,dr.lourencosouza,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
tifany.mdr,tifany.mdr,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.handleyneickison,dr.handleyneickison,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
lucasfarias_dr,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.marcosoaress,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
doutorsorrisoconfresa,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
tatiane_morais_cntdr,tatiane_morais_cntdr,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.mateusferreirade,dr.mateusferreirade,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.gabrieldiniz,dr.gabrieldiniz,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.rodrigoveloso,dr.rodrigoveloso,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
ve_fdr,ve_fdr,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.jeanbattisti,dr.jeanbattisti,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
maria.fernandr,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.thiago.oficial,dr.thiago.oficial,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,medico
dr.lucasdmelo,Dr.Lucasdmelo,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,medico
