username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
angelica.nutricionista,angelica.nutricionista,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,nutricionista
nathbarbosanutri,nathbarbosanutri,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,nutricionista
biancaleite.nutri,biancaleite.nutri,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,nutricionista
suellenmedeiros.nutri,,False,,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,nutricionista
tassiatavaresnutri,tassiatavaresnutri,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,3,nutricionista
nutri_alessandramelo,nutri_alessandramelo,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,nutricionista
nutrimerabe,,False,,1,curtidas_completo_edianemarinho_.csv,2025-08-28,1,nutricionista
leisymellonutri,,False,,1,curtidas_completo_edianemarinho_.csv,2025-08-28,1,nutricionista
kellyfhabriny_nutri.personal,kellyfhabriny_nutri.personal,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,nutricionista
nutriamandaom,nutriamandaom,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,nutricionista
lorenamartinsnutri,lorenamartinsnutri,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,nutricionista
nutri_fernandaostermann,nutri_fernandaostermann,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutri_naassompr,nutri_naassompr,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutrir.nutricaointegrativa,nutrir.nutricaointegrativa,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutri.izadoramilhomem,nutri.izadoramilhomem,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
niceianutri,niceianutri,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutrimaralicemelo,nutrimaralicemelo,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
analauramarchi.nutri,analauramarchi.nutri,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutri.thabitafaria,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutri_idaianetavares,nutri_idaianetavares,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
marianealves.nutri,,False,,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutri.isadorascalco,nutri.isadorascalco,False,Seguir,1,curtidas_tratado_confresa_vila_rica_sao_felix_MT.csv,2025-08-28,1,nutricionista
nutrimais_suplementos,Nutrimais_Suplementos,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,nutricionista
tdcnutriforma,Tdcnutriforma,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,nutricionista
edilbertomaciel_nutricaoanimal,Edilbertomaciel_Nutricaoanimal,False,Seguir,1,dados_avancados_seguidores_enriquecido_acipparaiso copy.csv,2025-08-28,4,nutricionista
nutriryannpersonal,Nutriryannpersonal,False,Seguir,1,dados_avancados_seguidores_enriquecido_clinicadraleticiakarolline.csv,2025-08-28,2,nutricionista
nutrivanessabrasil,nutrivanessabrasil,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,nutricionista
tassiacoelho_nutri,tassiacoelho_nutri,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,nutricionista
nutrianielygurgel,nutrianielygurgel,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,nutricionista
daniellereisnutri,daniellereisnutri,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,nutricionista
cuidarenutrirhc,cuidarenutrirhc,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,nutricionista
rozilda_nd_nutricionista,rozilda_nd_nutricionista,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,nutricionista
dilfernandesnutri,dilfernandesnutri,False,Seguir,1,seguidores_enriquecido_implantus.co.csv,2025-08-28,1,nutricionista
tarickvictor_personutri,tarickvictor_personutri,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,nutricionista
nutridrdourado,nutridrdourado,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,nutricionista
desativadonutricaio,desativadonutricaio,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,nutricionista
dicadasnutris,dicadasnutris,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,nutricionista
