username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
paulo_diniz_pso,paulo_diniz_pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4,outros
josefa_araujo60,josefa_araujo60,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4,outros
matopiba_consultoria,matopiba_consultoria,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
ilanapiresrosa,ilanapiresrosa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
heder.fan.arte,heder.fan.arte,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
dayaneanjos2022,dayaneanjos2022,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4,outros
anne.abreu.pso,anne.abreu.pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,6,outros
kaekamodas,kaekamodas,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
geohalvess,geohalvess,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
robertobandeiralabre,robertobandeiralabre,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
romariosantos2129,romariosantos2129,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
hellen_nobelio,hellen_nobelio,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
loys_ribeiro,loys_ribeiro,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
julianaap.martins,julianaap.martins,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,7,outros
muriloopinheiro,muriloopinheiro,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
luizandrejardim,luizandrejardim,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
dyogenes.c,dyogenes.c,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
marianamguida,marianamguida,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
hcardoso7,hcardoso7,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
thaisemarques_,thaisemarques_,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,outros
marifernandesb,marifernandesb,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,outros
fdmadriana,fdmadriana,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
leidianalcarvalho,leidianalcarvalho,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
contato.pso,contato.pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
amorearte134,amorearte134,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
domingosramosdesousa,domingosramosdesousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
oticarenata25,oticarenata25,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
clarice_rodriguescir,clarice_rodriguescir,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
analuisamoraisdesousa,analuisamoraisdesousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
muriilloc,muriilloc,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
raquelogawa,raquelogawa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
walter.gontijo,walter.gontijo,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
santosrodriguesrosiane,santosrodriguesrosiane,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
renata.mourasimas,renata.mourasimas,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,outros
helena.cosmeticos,helena.cosmeticos,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
ergosolenergiasolar,ergosolenergiasolar,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,outros
marciosowsa,marciosowsa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
julianapereira103,julianapereira103,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
tiagominart,tiagominart,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
daianyfersilva,daianyfersilva,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
claucarmosousa,claucarmosousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,6,outros
rogerioramos54,rogerioramos54,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1,outros
walquiane.sabino,walquiane.sabino,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
joyce_rodriguess28,joyce_rodriguess28,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5,outros
40grausmodapraiato,40grausmodapraiato,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,7,outros
dupassoparaiso,dupassoparaiso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3,outros
