username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
psicologamikaellenrenata,psicologamikaellenrenata,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4,psicologo
anacarolinepsicologa,,False,,1,curtidas_completo_acipparaiso.csv,2025-08-28,2,psicologo
psicologodiegosilva,psicologodiegosilva,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,psicologo
cristiane_torres_psicologa,cristiane_torres_psicologa,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,5,psicologo
rejanedionizio.psicologa,rejanedionizio.psicologa,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,psicologo
sivanildopsicologo,sivanildopsicologo,False,Seguir,1,curtidas_completo_sebraeto.csv,2025-08-28,2,psicologo
mariarosildapsicologa,mariarosildapsicologa,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,2,psicologo
psicologacleusienemota,psicologacleusienemota,False,Seguir,1,dados_avancados_seguidores_enriquecido_edianemarinho_.csv,2025-08-28,3,psicologo
amandatavares_psicologa,amandatavares_psicologa,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,psicologo
resiliencepsicologas,resiliencepsicologas,False,Seguir,1,seguidores_enriquecido_edianemarinho_.csv,2025-08-28,1,psicologo
psicologapaulamikaella,psicologapaulamikaella,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,psicologo
psicologaludimilaalves,psicologaludimilaalves,False,Seguir,1,seguidores_enriquecido_fisiocep.csv,2025-08-28,1,psicologo
psicologa_amandam,psicologa_amandam,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,psicologo
wagner_psicologo1,wagner_psicologo1,False,Seguir,1,seguidores_enriquecido_souto.barbearia.csv,2025-08-28,1,psicologo
