username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
leandro_maff,leandro_maff,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
mdm143p,mdm143p,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
e_areaowx,e_areaowx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
marinaa.tkd,marinaa.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_sschischof,_sschischof,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
ariel_silva_tkd,ariel_silva_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
henrique_lacerda_ibjj,henrique_lacerda_ibjj,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
janice_tkd,janice_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
d22meloo,d22meloo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
natymonike,natymonike,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
arthur_tkd31,arthur_tkd31,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
cleogodinhotkd,cleogodinhotkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
kimdaiana.rm,kimdaiana.rm,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
esquadraotigretaekwondo,esquadraotigretaekwondo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
sobral_lu3,sobral_lu3,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
kakau_tkd,kakau_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
mestracristiane_souzatkd,mestracristiane_souzatkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
pvdd._barella,pvdd._barella,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
marisedamazio2025,marisedamazio2025,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
yrguell,yrguell,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
enzo_schmitt,enzo_schmitt,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
grao_mestre.alex.machado,grao_mestre.alex.machado,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
nagai.ana,nagai.ana,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
profjohnatansoares,profjohnatansoares,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
zaninello_tkd,zaninello_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_victor.zsx,_victor.zsx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
nelsontoshiyukimiyamoto,nelsontoshiyukimiyamoto,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_linck02,_linck02,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
isaias.tkd_,isaias.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
carterlam1515,carterlam1515,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
clarawlz__,clarawlz__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
renata.tamie,renata.tamie,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
kmeurentkd,kmeurentkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
dimitrius_92,dimitrius_92,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
giovannasantosra2018,giovannasantosra2018,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
qg.aanac_,qg.aanac_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
eduarda.tkd_,eduarda.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_kyaramoreira,_kyaramoreira,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
sampaio_team,sampaio_team,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
luzareco_13,luzareco_13,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
tjmoveis_,tjmoveis_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
shimurazzz,shimurazzz,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
tkd_marcus,tkd_marcus,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
ceciliamaria_tkd,ceciliamaria_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_.julia.oliveira.__,_.julia.oliveira.__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_amanda.tkd,_amanda.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
normabger,normabger,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_masoares_tkd,_masoares_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
taizmontalvao2,taizmontalvao2,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
spartajotap,spartajotap,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
teamtaekwondoescola,teamtaekwondoescola,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
ajtkd2004,ajtkd2004,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
valdirenisilva_souza,valdirenisilva_souza,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
izah_emanuu_,izah_emanuu_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
fabriciooli_tkd,fabriciooli_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
_dry_.santos_,_dry_.santos_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
millenafalcon,millenafalcon,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1
