username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
rogerialima,rogerialima,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,11
jbraganoinsta,jbraganoinsta,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,19
jullycast_,jullycast_,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
adelianecamilo,adelianecamilo,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,8
rique.fael,rique.fael,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,6
crislgl,crislgl,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,18
kellyccomp,kellyccomp,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,8
nilssonneres,nilssonneres,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,10
diana_lopess,diana_lopess,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,4
cicerob.batista,cicerob.batista,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,3
hhalana,hhalana,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,4
thamyrys_viveiros,thamyrys_viveiros,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,12
anajuliaruizz,anajuliaruizz,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,2
leocassoli,leocassoli,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,2
anamariarichardt,anamariarichardt,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,9
teacherrafa_math,teacherrafa_math,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,16
anamizuno_,anamizuno_,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,3
snwflakwch,snwflakwch,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
juliamenezes.b,juliamenezes.b,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,3
_clarinha_andrade._,_clarinha_andrade._,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,3
dani209ela,dani209ela,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
dilvabueno,dilvabueno,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,7
tetec._,tetec._,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
jesicafernandad,jesicafernandad,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,2
beco_grill,beco_grill,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
jbraga1817,jbraga1817,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,5
jeaninnelang,jeaninnelang,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,4
luiz_wx_46,luiz_wx_46,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
fredsguarezi,fredsguarezi,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,3
edinafleao,edinafleao,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,2
marialuizaabubakir,marialuizaabubakir,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
bragarythowem,bragarythowem,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
nat_freire_,nat_freire_,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,5
dariborges,dariborges,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,1
dorelibv,dorelibv,False,Seguir,1,curtidas_completo_maristatocantins.csv,2025-08-11,4
