username,nome_completo,verificado,url_foto_perfil,status_relacao
mariarosildapsicologa,mariarosildapsicologa,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/515714551_17848740189509073_996903994772595052_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=XwEAzDf5YXsQ7kNvwHdoCFw&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSx5qu8jNVNIxnBimoL_rFosZJA2WSy2ZdrnekvS1yFSw&oe=6882252C&_nc_sid=6ff7c8,Seguir
maynaraperess,maynaraperess,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/520562047_18047958557627568_9033627278171903677_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=HeYUBEWDAWUQ7kNvwHnfXQP&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTeEsZkpYAIKuBE4EiFLYazFRtV-RsrhO2BtUiqD3xsiA&oe=688227DA&_nc_sid=6ff7c8,Seguir
rempelguilherme,rempelguilherme,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/456676660_890104112973761_6841550292182835620_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=20NlOe-p0WMQ7kNvwH_P5Ng&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSebWPBhnjal8PkTbdptbX0Vp96njD0l6Qb9cknhPiEhw&oe=68820827&_nc_sid=6ff7c8,Seguir
muriel.contadora,muriel.contadora,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/361734793_1452112672221132_8551204917857486886_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QFF2We31XVEmzM-zq7CGmm2bDTnK7ioc6XpEKyEK1rAAeAa9-G1yltD2WDzeNFwmew&_nc_ohc=mmHeAy4dWUcQ7kNvwFVR4P8&_nc_gid=QiH2vUmkNrS9bU8msmP_bg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTvfdbyr_xDs9GUvaF5o5GwTZwk85ArjRAerB_6M6Q9RA&oe=688210EF&_nc_sid=6ff7c8,Seguir
erickavazm,erickavazm,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/432769550_283834251426249_7608949600507176345_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=d2C0xXGAnlEQ7kNvwGfIh6s&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTrYDK9ElTMKo0jnLw6nWlDmc7utHidm1w7cfs7u8CW8w&oe=6882205F&_nc_sid=6ff7c8,Seguir
raulsilvacoelhodesousa2018,raulsilvacoelhodesousa2018,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/503532939_18031776419680090_3515133080986876961_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=wkJPjRI0RZsQ7kNvwEFO57D&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTUkcZxdQ-TwGmdH41o_YI7A_e2g14y9FvoYir3Hw-Qrg&oe=6881F19C&_nc_sid=6ff7c8,Seguir
sonia__oliveira26,sonia__oliveira26,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/450630398_3854049411480701_6818917829777927410_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=GJS4XH3zDncQ7kNvwFtbknR&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTnFkl31J4M4RmgEivbrKUzxI4-DvDZICEYN3sDmaHi2g&oe=68822587&_nc_sid=6ff7c8,Seguir
chagas_an,chagas_an,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/521542532_17911955520157786_3353725058666827614_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=t-BwsamTtAgQ7kNvwFkFtAF&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQoSHCo1xSAhg6x70uwFm9L5OtoKvroU8xcUjJ4WvjOoQ&oe=68820B79&_nc_sid=6ff7c8,Seguir
divianeresplandes,divianeresplandes,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/482569270_1287201175896992_7060472349371859602_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=VlCwck8XRicQ7kNvwFxZhPj&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTlZLfJq-4HiDJLVYJE8h5DTRMFGQD5sGlzUp9CvX1lOQ&oe=6881F6B4&_nc_sid=6ff7c8,Seguir
olga.maria.mi,olga.maria.mi,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/518531722_17913571512138480_5604363341946935904_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=9Q8-Ml67Fg8Q7kNvwFB83QP&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSeN94BYi7Xd3qUVpXz1WpjNWXdbJ5A3bW0XXRRrWkOOw&oe=68820233&_nc_sid=6ff7c8,Seguir
h_hivian15,h_hivian15,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/504538471_18065215670515296_7060984338940412853_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=XzhxkvCYiyYQ7kNvwEGUY1q&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT1VWNjzeDFqMT1nw5wcdMCIaZymM33kmeJo_wT-em04Q&oe=6881F373&_nc_sid=6ff7c8,Seguir
mayzaribeirodesignerr,mayzaribeirodesignerr,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/359113443_3513263242273516_8871800846945647113_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QHoJuf8pOnoFH5QNZ3Bddp4AANquPvAtWWUymINB85kjdZE32vnk6D7A6wSoAPoaZQ&_nc_ohc=ylMOEiClnZAQ7kNvwH12Kqq&_nc_gid=AZ8FUvZEZIG8M6PkJyMnQA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRmuautRoY3HxPYV8FeGQf_v9_CyBxLE1b9VUWQtioDhw&oe=68821E3A&_nc_sid=6ff7c8,Seguir
analauraalencaar_,analauraalencaar_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/501995049_18509981455059549_2023006671394986907_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFF2We31XVEmzM-zq7CGmm2bDTnK7ioc6XpEKyEK1rAAeAa9-G1yltD2WDzeNFwmew&_nc_ohc=Izp0EJkXPbAQ7kNvwEPd03t&_nc_gid=QiH2vUmkNrS9bU8msmP_bg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTBUBXBuMY2kxfXffCOxe_kWVmMImCW07UX8WUR4CgwLQ&oe=6881F25A&_nc_sid=6ff7c8,Seguir
