username,nome_completo,verificado,url_foto_perfil,status_relacao
morena.2118,morena.2118,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/496796844_17891967684237654_5224708218670421871_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=HgXDmvfrJQ8Q7kNvwFjnBmx&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTcQE66_oQyBP-ATKmy1QmjGqgpw-KJbAA6hiU5MI99aw&oe=6887800C&_nc_sid=6ff7c8,Seguir
suzana_santos03,suzana_santos03,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/509647282_17871364929388219_3521478179486835557_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MjguYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QF-A7em3jcccVYxuZQgUSE1zksn9mF9fYCRzU9x8KfWT72mDBejKf3Jv5vN43L-0O0&_nc_ohc=Tqnm_LILRHUQ7kNvwFnvJip&_nc_gid=EKQYtC2inuTj63nvyLMWpw&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfSvl-fcK9ZJQa_zI7WniIYSfyndtXOSd0psnpsLMPQAcw&oe=688767F8&_nc_sid=7a9f4b,Seguir
glendamayara13,glendamayara13,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/521130093_17896185951255568_7679213966243755050_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=PXK30wS0RF8Q7kNvwH7yDQt&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSoqZ2SrhmZQnlgiHclMtIUc7fq3_ZR21RQ-hr_RdMPaw&oe=68876ACC&_nc_sid=6ff7c8,Seguir
mc_olanzinho.oficial,mc_olanzinho.oficial,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/501438073_17937100458009982_868958632318263223_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=yncNNLyIlTkQ7kNvwGcLOaD&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQNTMr9y_laRnamKWjOmCRMiUoh9mbrfWf8FkPN3kzjwA&oe=68877BBE&_nc_sid=6ff7c8,Seguir
andr.eiamaciel389,andr.eiamaciel389,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/518209267_17858745672449228_5530552285498377443_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=2HbxbYJRH5oQ7kNvwG_JlfL&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT8x2BjBb6hekOPHl1C4Rv8xPLn_MTgQabc3gqz2nGg3A&oe=68878AF4&_nc_sid=6ff7c8,Seguir
pabloscolare,pabloscolare,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/491423678_1660980991476223_7723259867188114145_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=hjxyNIFw19kQ7kNvwHSuMym&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTvrC8LuKIyYI70-6CUqliOx8_z1_u5mvechYigWYCFRw&oe=688794CE&_nc_sid=6ff7c8,Seguir
deborasousil,deborasousil,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/503886381_18141004735402955_6428765544743595186_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDc4LmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=6afaitilYCoQ7kNvwG7Ca_3&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQAIUkZa8o9dC_aYq5ryGCOHa3r_9D5ua6lJdiT21Doag&oe=688775DD&_nc_sid=6ff7c8,Seguir
lucilene.rs94,lucilene.rs94,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/515056184_18068732288282326_6361994168682403730_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=YwY8WYwrotYQ7kNvwHMkTZZ&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRkV37pNHXzQxllifuMfZm2VoGX9VL4a-IfDeTNvvsTPQ&oe=68877279&_nc_sid=6ff7c8,Seguir
gcaroline_sr,gcaroline_sr,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/501428715_18155051794368347_4495651627871066133_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=V6ZqFFFbfu8Q7kNvwHxUnjk&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQlEev5m_LHLZ7a2oGhn74xXkPpBPntzH1J1BTicjgNXg&oe=688760F6&_nc_sid=6ff7c8,Seguir
claudenir_soaress,claudenir_soaress,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/472014192_2044887199273002_4226166286484858122_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGM63vdycGwNTspWERGZ_BGTc5ybDiFBFdOcC8wwYShQH2Fq9Y9h64e8B0ZjACdUig&_nc_ohc=AqRPHu0F4WcQ7kNvwFoiVrA&_nc_gid=M-2ZhHSmjrLs-V--qg7D_w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRzjiA26LZA9XwtruDxN2O9SYcbcF1gno0XOXDL3I1RbQ&oe=68876FD6&_nc_sid=6ff7c8,Seguir
