username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
paulo_diniz_pso,paulo_diniz_pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4
josefa_araujo60,josefa_araujo60,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4
matopiba_consultoria,matopiba_consultoria,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
ilanapiresrosa,ilanapiresrosa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
heder.fan.arte,heder.fan.arte,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
dayaneanjos2022,dayaneanjos2022,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4
anne.abreu.pso,anne.abreu.pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,6
kaekamodas,kaekamodas,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
geohalvess,geohalvess,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
robertobandeiralabre,robertobandeiralabre,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
romariosantos2129,romariosantos2129,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
hellen_nobelio,hellen_nobelio,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
loys_ribeiro,loys_ribeiro,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
julianaap.martins,julianaap.martins,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,7
muriloopinheiro,muriloopinheiro,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
luizandrejardim,luizandrejardim,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
dyogenes.c,dyogenes.c,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
marianamguida,marianamguida,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
hcardoso7,hcardoso7,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
thaisemarques_,thaisemarques_,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5
marifernandesb,marifernandesb,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5
fdmadriana,fdmadriana,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
leidianalcarvalho,leidianalcarvalho,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
contato.pso,contato.pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
amorearte134,amorearte134,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
domingosramosdesousa,domingosramosdesousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
oticarenata25,oticarenata25,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
clarice_rodriguescir,clarice_rodriguescir,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
analuisamoraisdesousa,analuisamoraisdesousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
muriilloc,muriilloc,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
raquelogawa,raquelogawa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
walter.gontijo,walter.gontijo,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
santosrodriguesrosiane,santosrodriguesrosiane,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
renata.mourasimas,renata.mourasimas,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5
helena.cosmeticos,helena.cosmeticos,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
ergosolenergiasolar,ergosolenergiasolar,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
marciosowsa,marciosowsa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
julianapereira103,julianapereira103,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
tiagominart,tiagominart,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
daianyfersilva,daianyfersilva,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
claucarmosousa,claucarmosousa,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,6
rogerioramos54,rogerioramos54,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
walquiane.sabino,walquiane.sabino,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
joyce_rodriguess28,joyce_rodriguess28,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5
40grausmodapraiato,40grausmodapraiato,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,7
dupassoparaiso,dupassoparaiso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
marques.josemaria,marques.josemaria,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
eunicegomes,eunicegomes,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,6
machadoantonioaugusto,machadoantonioaugusto,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
diegoelbert,diegoelbert,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
econewsto,econewsto,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
paraiso.to.paraiso,paraiso.to.paraiso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
aragao_thayla,aragao_thayla,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
elivania.alencar.391,elivania.alencar.391,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
renatalemos.adv,renatalemos.adv,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,4
oliveirajussaraalves,oliveirajussaraalves,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,5
thaisrodrigues_personal,thaisrodrigues_personal,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,8
eu.joaomartins,eu.joaomartins,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
reginaseguros.pso,reginaseguros.pso,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
fernanda_magalhaes15,fernanda_magalhaes15,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,2
jeanysilveira.estetica,jeanysilveira.estetica,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,3
marinalva4592,marinalva4592,False,Seguir,1,curtidas_completo_acipparaiso.csv,2025-08-28,1
