username,nome_completo,verificado,url_foto_perfil,status_relacao
eva._nilda,eva._nilda,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/502994368_17878750410337080_6906779546684235142_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=NqbC3CJY6CoQ7kNvwFCGwcG&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTWLXnpXEXUrtEJFKrHPUlv8mjyfB63Vg2TYVAG3hOTug&oe=68925CCD&_nc_sid=6ff7c8,Seguir
ray.aneferreira2,ray.aneferreira2,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/522816956_17845100469534661_45755321461188517_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=-0iwxwPAfH4Q7kNvwEjP8ka&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTtbfpMCkpzt8owLDhylcTVUVBmuBxvzdLuDQgaSrgMKg&oe=68926CEF&_nc_sid=6ff7c8,Seguir
steff_annyrodrigues,steff_annyrodrigues,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/508623080_17901015726202722_2193597497549311375_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zODUuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=dAotIq8jAIwQ7kNvwFbk1zs&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR4DTv3lJij7nMeo5Ex76BR1lOtYJh0EIUz7ySnRHfFpA&oe=68926597&_nc_sid=6ff7c8,Seguir
junioroliveira8140,junioroliveira8140,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/499370554_17843351151493057_2305357164810742706_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=eQPljCas_y4Q7kNvwGLloar&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRO398VuE9HzbrsO5ISa6Ep-U93qmBZmYdZlIQsiLYaYQ&oe=68928BCB&_nc_sid=6ff7c8,Seguir
jessikalborges,jessikalborges,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/508732749_18512902468051227_6587841536890453041_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42OTUuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=cGgcx-Rx4mkQ7kNvwGE1EX2&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTKaBCthcTgKt0jpKOEcoLYcI2PA3OnlAempTlon4AxwQ&oe=68928631&_nc_sid=6ff7c8,Seguir
alexfery2016,alexfery2016,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/499408396_18406100956097117_1029249948533397819_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=sDtm21I8T10Q7kNvwEOkx3Y&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTBYEIie8cLDlv9PFipNQzzl2YCTXXKGoyY2voozjNFdA&oe=68928AEF&_nc_sid=6ff7c8,Seguir
recantodaslaranjeiras.mr,recantodaslaranjeiras.mr,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/469251137_9532238170123053_5058518934726635068_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=w6FoVzly5NgQ7kNvwEvCW89&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTbmnwYHrQRLL3E5RHQou4nq1VPQgm9-8GMX3czfDFwUQ&oe=68925D39&_nc_sid=6ff7c8,Seguir
leide_amanciio,leide_amanciio,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/490274713_685719410540780_5390076822119291541_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=PaeGHV7Qw1wQ7kNvwHFodas&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTwQc5o87GR7TYRk0IQJTTRN1Q95XIm_yLv2TfqUWGm3A&oe=689284FF&_nc_sid=6ff7c8,Seguir
izaliia_pacule,izaliia_pacule,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/453147404_1605803113614478_3520313125785816862_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=rQKIiGYiWcIQ7kNvwHdGmT6&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSU9nF9WiZyvrioa8S5oLiuozECvGnpSzGpZkmqu0V7Zg&oe=6892655E&_nc_sid=6ff7c8,Seguir
zeliaalvessilvasilva,zeliaalvessilvasilva,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/447213393_1071149534423806_7665577207530847611_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTcuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=LXMRT-DMrA8Q7kNvwEbuhe0&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRqA8Yg_unVHiASzwmQIlCTFFFHADwcSLQhpVJ4CRuzWw&oe=68925F17&_nc_sid=6ff7c8,Seguir
