username,nome_completo,verificado,url_foto_perfil,status_relacao
esportetocantins,esportetocantins,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/522525849_18065402966466050_8066713525947920699_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=Qe48rTOOXmAQ7kNvwHbO2DB&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ0PEGbWOGi219YZVdteFkZY84F9GwtydZU_pjke3LSOw&oe=688D4629&_nc_sid=6ff7c8,Seguir
claraaraujoo8,claraaraujoo8,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/487432404_1200952874979581_3346235924712394510_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=AkBQBsmGUeIQ7kNvwGxRU_Z&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT57cRcU535wLfgtASR5JQOkCHVrzcWvUesaNVfsmob4w&oe=688D64FB&_nc_sid=6ff7c8,Seguir
vas.amandab,vas.amandab,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/512537420_18313343293236351_8857519719798033472_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=0TJZ7NlTY8IQ7kNvwFB6XRC&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT1aLZGjHrclqmaexk0ytn6VqqB9Noehi0B1YfApaC9Fg&oe=688D43BB&_nc_sid=6ff7c8,Seguir
brunokrl321,brunokrl321,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/521931029_17916748650120952_6508887344958776626_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=ht3qZAaIVIEQ7kNvwEZ3lb1&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSA5g7dOXA6haRTkiXI4nEaYVYquCa6tQyxPXuwBdL4UA&oe=688D427B&_nc_sid=6ff7c8,Seguir
camisa63.to,camisa63.to,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/501046216_17910335340141662_7128269890186330044_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=LtDuomvP-00Q7kNvwHbGQaq&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQC32on3i3BsiLpOU8MxW5zsEhVWAlvXZeZs23fHyU5og&oe=688D3741&_nc_sid=6ff7c8,Seguindo
neliane_ornelas,neliane_ornelas,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/480903045_1316490839670662_1228061022284393010_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xODMuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=uRX06EshgeQQ7kNvwGT6dnn&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQGVik6WH853YUxASpJS2OzrV8ceKpKNK1QboHI0XFRBA&oe=688D69A3&_nc_sid=6ff7c8,Seguir
renata_olivia_,renata_olivia_,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/452121431_843058287741619_7191745934198471969_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42MTkuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=VIhzLoE17ucQ7kNvwF2oZoW&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTyMx9UExNySLAVKFg_BfOd7-uiIKMqanosBCqkAyLfTw&oe=688D363C&_nc_sid=6ff7c8,Seguir
_gustavo_valadao_,_gustavo_valadao_,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/500237701_17850793203461404_964361680274099229_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=NrNoHALReu4Q7kNvwGR9djk&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRF45W-D_s-J2SZjbjGSNUqDBAlXi52J5VV7zSRBjImCQ&oe=688D3766&_nc_sid=6ff7c8,Seguir
stellafernandes.silva,stellafernandes.silva,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/483639904_1155625049025446_8428682155221427427_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MjguYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QEVOEjjPZ_uSq5MfYAf3_oEKKOawgShaH_19ZAs_jtmdDec8FtZEhliudvth_oWklbFi9kiRtEK017_tAeAcBji&_nc_ohc=jGO9nqi6Sb8Q7kNvwE4_W6O&_nc_gid=oujkyADIJ0AFAQNyKSWrzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQiX6bVVDhSvC8iaDRTp6bpQEDeJhkrF0MucJv46yTkXA&oe=688D54A4&_nc_sid=6ff7c8,Seguir
samuelscw,samuelscw,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/521658223_17853255684491351_5949247068565386427_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDcyLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QFcC3NBAvHweQf3-_oUwu6lPbcd3_wIMZzVdl6ow6Cz_oE4Yz9m3OG72KjFxftO0G4ScDWzADX1tZzwn9hwEWCy&_nc_ohc=xQx6HykXe3oQ7kNvwELh9e3&_nc_gid=neAscN4hiYItafvmA_hE4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRc-L-Q0m5fqZhmm04-IEf-Xup_KrxDG5-seAUt5cl0lw&oe=688D5D08&_nc_sid=6ff7c8,Seguir
