username,nome_completo,verificado,url_foto_perfil,status_relacao
jovair_sales_de_lima,jovair_sales_de_lima,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/525660087_17843189289542229_635744637162360673_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=iiHZyYDfKBoQ7kNvwEsyCXX&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ1VIqdeGvgHyJP-Ni5zfcekDvjdiyw72P7P7utG-Or7w&oe=6892725A&_nc_sid=6ff7c8,Seguir
gsales.advocacia,gsales.advocacia,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/515352581_17844130824522002_8245396379563809898_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zNTQuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=VSb8xt0v-AcQ7kNvwEpca4j&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQeyA80ssFseCE6lW1wCqlr6fhEO0IiYyFZbYMA_xSdkg&oe=68929A8A&_nc_sid=6ff7c8,Seguir
cassiaenzo30,cassiaenzo30,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/485094639_1658783801690860_5070166319088941647_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=wUHzy-vFHk8Q7kNvwH7T779&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTNQw2dfJ7dbHxGeEHhsZxZakvvh-pOLzqygEe6kHvUwQ&oe=68929331&_nc_sid=6ff7c8,Seguir
san_andreasbarbearia,san_andreasbarbearia,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/525434177_17849390481526809_4704769317147248091_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MDYuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=UevE556ODVsQ7kNvwFF7pGr&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTlwOQV3K1KpXSLherJUwoVa7X5PNsBc4ij0_cwjsGssQ&oe=68928F26&_nc_sid=6ff7c8,Seguir
boate_amor_real_l,boate_amor_real_l,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/525570511_17842311741551074_5629330482288945209_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NjYuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=zpWzISnJKCQQ7kNvwFZnrp_&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSszzxvVmq1OtAgEMRi31Xd_CpOl0ihYZqrVy7_eIUl1Q&oe=68926EE8&_nc_sid=6ff7c8,Seguir
rayan.e866351,rayan.e866351,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/520345308_17867679003413026_6909918126449230271_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QF5H03VtZHbX_rYrUV_4E5LzY73Otn9oeSVfxob2DvxBF3MnS28uSdf11PmCh7oVdUVBymEpIyQ81DK3Hi5LoNG&_nc_ohc=U_jEx009w-IQ7kNvwEzFVDz&_nc_gid=xT_L_dJ045b6IyAkhin7zg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRqnDyPjswlGPjVge7NLye2QypidB3uHzrTxHCKTc9qHA&oe=68928091&_nc_sid=6ff7c8,Seguir
ciaimoveis_,ciaimoveis_,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/525562145_17842642260549491_705883413178873866_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjQuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=963Ksml2WTwQ7kNvwGlX2HN&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSwkpJFBqrdLgOT8hBXUZJgV0tWAzPXkLkwOwpicNgEGQ&oe=68927226&_nc_sid=6ff7c8,Seguir
mundonovo_milgrau,mundonovo_milgrau,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/417834113_1041201490482464_3798346554412844522_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42MDUuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=NfhBeHGkw9AQ7kNvwFuNraO&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSlZhzd--6OVWohVyK-3k-vfJFkyKTVVuzM5FM-q8WMyw&oe=68928DA8&_nc_sid=6ff7c8,Seguir
marianune2680,marianune2680,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/497602028_18041432321631306_6824075536885956199_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=eJ8hnezK8OcQ7kNvwHvkDLD&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTLD22kdcrCDCwKpfXvuByHrC2G_DMiqSnyFgaUQVqT7w&oe=68927A91&_nc_sid=6ff7c8,Seguir
distribuidora_doniltinho,distribuidora_doniltinho,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/447826516_286079024500936_8246576934791529909_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QH6F9bYqeqDXZSA347x0qcoX0yzfArHTCBIiwvb9ymFr1jOzzJT-tlc3GJYbm5SseC0u_jxhRkCQT3TnyH2yhML&_nc_ohc=vkYc0URPUz4Q7kNvwGsCzQX&_nc_gid=X0sMkJCxvPQnUfXkhD3yIg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQWh1gDE1TL2PuTJ0qxaiF4G3Nr3B2F3J_NkLePbLRU7g&oe=68927D98&_nc_sid=6ff7c8,Seguir
