username,nome_completo,verificado,url_foto_perfil,status_relacao
hello_stefanyt.tkd,hello_stefanyt.tkd,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/505749766_17848673790484126_8911843704890696635_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=PA2AHcp1PFEQ7kNvwGJ-zpw&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSQ47I_vgheVbF042L4rJc4mxjTJ6y1ETPkUBYyPsdS1Q&oe=687ED1C7&_nc_sid=6ff7c8,Seguir
lucas.vieirax2,lucas.vieirax2,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=51ShAcLGLe4Q7kNvwHGTyWB&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AfSpNqI5jT94UUEcOrBXAJFx7YYISoHXeyO3pZEDqMeldA&oe=687EBBCF&_nc_sid=6ff7c8,Seguir
leite2rtkd,leite2rtkd,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/515256346_17844152502523525_8036353751343837504_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=yJlR5WDV2ZAQ7kNvwEjDP_R&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT_JTV4LBA_L10NsZua9m1AEgvd5geZ0uZr8qQ74eSGew&oe=687EE7FF&_nc_sid=6ff7c8,Seguir
o_jorgin09,o_jorgin09,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/504337547_17949539372994310_9098333066360259789_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=3kqvuBqeZIgQ7kNvwGUKrno&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTgba5T7OUw1-f6miQT_eN5aNChY03HuBDyhr7mdK3AvA&oe=687EEC7E&_nc_sid=6ff7c8,Seguir
luizmiguelsantana1,luizmiguelsantana1,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/503574092_17863615161416690_3187335325052358217_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=5sQQS7t83JAQ7kNvwHxGH65&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTwl5lHIVNEVfNGX9knFi5Pn6G_iieo7Fvn3PHxlyWAKA&oe=687ED1E3&_nc_sid=6ff7c8,Seguir
dstvd4_0622,dstvd4_0622,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/472515589_1758752198045476_7481248091424194358_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=KkvXzvN4kCMQ7kNvwEUe_gV&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSNZs9j1rBfxvt4vyyHtz-IiFkEzL1dsaJWWO8fNqbfQw&oe=687EE8F3&_nc_sid=6ff7c8,Seguir
46_henrique_06,46_henrique_06,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/503273510_17881606869313035_4674282826868449814_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=QYP6zW_btDIQ7kNvwFZfmRV&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSiDA3mSOh4H4YGN8CBfEHjabtd7DSbjzLAcym4CaCbwQ&oe=687EC545&_nc_sid=6ff7c8,Seguir
heloiseew_,heloiseew_,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/489021023_9404004803039653_7458942683195467462_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=b8d8fWOzxwgQ7kNvwHCwdub&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSOpOE0u0AikCV0LieqX6crYhncLRl3zPheQHg8lttQ7Q&oe=687EECD4&_nc_sid=6ff7c8,Seguir
e_o_david_tkd01,e_o_david_tkd01,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/503519020_17868064071403542_5824214466951646338_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=yn85-18mVsAQ7kNvwEvZXxT&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRzeX-ljoaQCEIeVBhYw82dEscqMfeufkJFgSukBIa1Og&oe=687EED5C&_nc_sid=6ff7c8,Seguir
maju.mariajulia2016,maju.mariajulia2016,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/500094785_17844988563487855_5821630660887529632_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFjWnLB-wu5GTnnGMnLUvrrdkqKiVTz6aHMFy6ZNReaoxhjeJZ7STwhlTgGewxAdr7ztV-7NvpAaZnKUTmid5AW&_nc_ohc=YEh7PsFQ2GsQ7kNvwGYu2T2&_nc_gid=PcHkp5ZJa0_waKlFbt7BQg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS3KY2dIAL7Ca12y-FgkOWYZdgrkut2dsu-5NP0pwp4wg&oe=687EB99D&_nc_sid=6ff7c8,Seguir
