username,nome_completo,verificado,url_foto_perfil,status_relacao
tonabrasa.to,tonabrasa.to,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/503710078_17846032179514043_7034762611184856180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=IISszaBfXLMQ7kNvwGcwfEw&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT-2PKc1dI8L7tQTX_ss6EGjo37XysOQlygqD6WUQr7xg&oe=688D853D&_nc_sid=6ff7c8,Seguir
ruan.fotosxz,ruan.fotosxz,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/510962785_17850011712487522_3982747811281538356_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=G-6kJhO1qOMQ7kNvwFNeAAY&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSXmUJEDhHhAbY9qr4k7Be2xP43rEME8U-UkTmYWTi3wA&oe=688D8899&_nc_sid=6ff7c8,Seguir
mwrconstrucao,mwrconstrucao,False,https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/521582066_17853328827487866_2386799943353695213_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=-sq9wXc-1s0Q7kNvwFPmCdP&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQH7Tb-E6feS-oL9Ev-QjbJouhp3OwYtb3gKb4XtaHMAA&oe=688D8170&_nc_sid=6ff7c8,Seguir
rairanenoronha,rairanenoronha,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/480643289_974146434700236_5133836820340886525_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=g-KA9J8-vHgQ7kNvwGs35YF&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTWWCO2tjMoLtQGHyXqKHi_I0vtOAdkIRYSAaHGFISyqw&oe=688D7BD2&_nc_sid=6ff7c8,Seguir
giulianags1,giulianags1,False,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/500538055_18372618550120432_7108410400041275572_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=XRYB3DvXOEIQ7kNvwHz8PwL&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSTdw08l1l4JMflzJE-Ve1Czmrl45WAXJbmsAt7OuhZFA&oe=688D66F4&_nc_sid=6ff7c8,Seguir
virtustvtocantins,virtustvtocantins,False,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/491527705_639463735742881_6706752599862368282_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=-dcZ3KulK7oQ7kNvwFmL2Df&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRsSOdWaKMPQQoLGPPXVeiw08lS_q1IW7nf_kXUJPZKyg&oe=688D5A81&_nc_sid=6ff7c8,Seguir
diegoohld,diegoohld,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/504517716_18062563592168472_8688914828379278815_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=C-F-AyT6tN8Q7kNvwFQ2SX4&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSIN5d572smOlrwPpj051l64UpmY9xLZG8VHYFnVrAV5A&oe=688D7623&_nc_sid=6ff7c8,Seguir
fbterj,fbterj,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/485281385_1722323601830099_7038754738952677356_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=DSQkzgIkKjIQ7kNvwEiV00Q&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTRIiq9Htmq50xJYVgYx3b5lsrz12Fj5CRl0YQ-EeKxUw&oe=688D5E2E&_nc_sid=6ff7c8,Seguir
cantina_ruralto,cantina_ruralto,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/122733250_4609744805733583_8628086635046018061_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=auqHfM_TtQwQ7kNvwHV-KYK&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR-4tTfFmuwBfy5iGnKp0HTsd-4pEusXRMYuUMIRh3_Yg&oe=688D6B8D&_nc_sid=6ff7c8,Seguir
arison.braga,arison.braga,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/465668169_846876857319811_4495978585387033778_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=D66Sd1d8kREQ7kNvwGLspts&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRg3OVea4W7sN2KLOOHazivESy1hmwnb44mjb8KQbON8g&oe=688D5223&_nc_sid=6ff7c8,Seguir
brunobh.7,brunobh.7,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/296164243_3087959498160598_6266165948663303394_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40ODYuYzIifQ&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=U50h_WkdE9MQ7kNvwHrtBcV&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS-2GDoYLw7wvIduFYpMj7lRNLZd_iuGvAr8E6F4mQqNA&oe=688D7E97&_nc_sid=6ff7c8,Seguir
advloannegodoy,advloannegodoy,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/488668340_1030993498954283_4416091278570868735_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEksiuyjtn4yG7bh0mRZsyd-LA1T6Dqaa7l-m2nOqelFmjvsEVjbrCI0PCsjMxX7G441IRLhlv8FfQCLoJu2lCr&_nc_ohc=5K4OVhaL9eoQ7kNvwEzd0Io&_nc_gid=A24oYf38yUWvm_6bJPYprw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSMB8dou2N9QxiUIsfKEjRExacgqxy17IfLZ-wVCzIHhQ&oe=688D66F1&_nc_sid=6ff7c8,Seguir
llucas_lp,llucas_lp,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/491445445_1345708860017003_4137255568325493632_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MjguYzIifQ&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=dGC16ZDzjrAQ7kNvwEKOxlR&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRShT__-Ma6yIcE2XKZjXZGuUOJnX-Ce5vhzPcocvy2FA&oe=688D52E8&_nc_sid=6ff7c8,Seguir
julianappinto2025,julianappinto2025,False,https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/501448759_17842318620504674_7154391151793706215_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=0E7o4p_I_qkQ7kNvwFt0eUC&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT2--sxjosszeo2IR034ElDUSHB89QUvdDdTH0pBuK72Q&oe=688D586A&_nc_sid=6ff7c8,Seguir
corazzi_pmw,corazzi_pmw,False,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/497515615_17970980777854103_5612219046134611815_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=AyYCe_u_ymQQ7kNvwHceDwm&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRrf2MhhabRvvCI8itmwgxlbZiEDROs-OdPtb14C5WEaA&oe=688D78F6&_nc_sid=6ff7c8,Seguir
milena10silva1,milena10silva1,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/454679765_476618161754194_256048533357236134_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=kCZXseeiLV4Q7kNvwGILamF&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR7x1gaorW8Nq45A2BZjhi-kfaBqGhSLlol0DcKcDAQiw&oe=688D62A8&_nc_sid=6ff7c8,Seguir
ratillaraiury,ratillaraiury,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/496557423_18504062875021155_3471602412060768406_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=OMxqIdtVdZQQ7kNvwFhRocx&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRc3Sm0WmjGhcm3R3JqGq6ySEpcG2iH9-5pFBAbtcxxzQ&oe=688D54B3&_nc_sid=6ff7c8,Seguir
iza_ferreira_vr,iza_ferreira_vr,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/122199206_1739364949545176_8710244889441492523_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41ODQuYzIifQ&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=SSsbWH5quswQ7kNvwFOlibX&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRRosvlxi3kH-61loTfmaGzoshYjXenSRI96P98nwU47A&oe=688D7BEE&_nc_sid=6ff7c8,Seguir
davi_barross_,davi_barross_,False,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/503609132_17970287801875731_5012256448353036416_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGukoaWce5eVQh8lw5un_GxDywTUSJMtkvVs_xFjyw5W7yaoXq0wq1DdY_oN-SBWLL1aItVTkWItNGVFV4GB4tX&_nc_ohc=vnP6JE33CkIQ7kNvwGwg3cB&_nc_gid=Cwjq8CL87OFnfTbQQ3XKzw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRrcDlPLNAKDc9Tn7cYVgp2cdrW30JLVVkqO6m17dXAkQ&oe=688D83EC&_nc_sid=6ff7c8,Seguir
