username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
leandro_maff,leandro_maff,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,leandro_maff 282 282 1.248 1.248 1.299 1.299 Leandro Maffezzoli Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa... mais Leandro Maffezzoli Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa... mais Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa ... mais mais Atletismo Tae Kwon Do Deus Criancinhas filhos A opção é sua! Motivação natureza/casa Obra Prima Deus Atletismo Tae Kwon Do Deus Criancinhas filhos A opção é sua! Motivação natureza/casa Obra Prima,282,282,1248,,False,Pública
mdm143p,mdm143p,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,mdm143p 6 6 222 222 636 636 Enzo Atleta 12y 👑 💎 👑 💎,6,6,222,https://www.threads.com/@mdm143p?xmt=AQF0fJ7p9wM0Jp--buJatCGtfWR95u9SOaLwMig1odajaD8,False,Pública
e_areaowx,e_areaowx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,e_areaowx 1 1 128 128 88 88 𝓔. Atleta 𝕰𝖌𝖔,1,1,128,,False,Pública
marinaa.tkd,marinaa.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,marinaa.tkd 36 36 865 865 892 892 𝙼𝚊𝚛𝚒𝚗𝚊 𝙶𝚘𝚖𝚎𝚜 𝚅. 𝚍𝚎 𝙰. 𝚁𝚘𝚍𝚛𝚒𝚐𝚞𝚎𝚜 🐿️ Atleta 🩵 🌤️ Tkd Pan’25 Gymnasiade24 Parceria DISNEY•SPRINGS UNIVERSAL•2 UNIVERSAL•1 ANIMAL•KINGDOM EPCOT H•STUDIOS MAGIC•KINGDOM Pan’24 🩵 🌤️ Tkd Pan’25 Gymnasiade24 Parceria DISNEY•SPRINGS UNIVERSAL•2 UNIVERSAL•1 ANIMAL•KINGDOM EPCOT H•STUDIOS MAGIC•KINGDOM Pan’24,36,36,865,,False,Pública
_sschischof,_sschischof,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,11,"_sschischof 1 1 496 496 312 312 Alexandre Gabriel 📍 Curitiba, pr Boxing and Taekwondo athlete Alexandre Gabriel 📍 Curitiba, pr Boxing and Taekwondo athlete",1,1,496,,False,Pública
ariel_silva_tkd,ariel_silva_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,ariel_silva_tkd 44 44 1.500 1.500 733 733 Silva Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop... mais Silva Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop... mais Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop ... mais mais Taekwondo Me Maquinas🚀 Momentos Taekwondo Me Maquinas🚀 Momentos,44,44,1500,,False,Pública
henrique_lacerda_ibjj,henrique_lacerda_ibjj,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,henrique_lacerda_ibjj 39 39 167 167 95 95 Henrique Lacerda | BOXE JIU-JITSU TAEKWONDO KICKBOXING chat.whatsapp.com/E7LDyrgWl18DqRvE2icLEr e mais 1 Destaques BOXE OLD SCHOOL E.P.I Destaques JIU-JITSU TAEKWONDO MANOPLA ESCUDO BOXE SCHOOL BOXE RED TEAM LACERDA BOXE Destaques BOXE OLD SCHOOL E.P.I JIU-JITSU TAEKWONDO MANOPLA ESCUDO BOXE SCHOOL BOXE RED TEAM LACERDA,39,39,167,,False,Pública
janice_tkd,janice_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,16,janice_tkd 4 4 1.036 1.036 295 295 𝐉𝐚𝐧𝐢𝐜𝐞 ᯓᡣ𐭩 Atleta •Taekwondo 🥋 •🥇8𝘹 🥈2𝘹 𝐉𝐚𝐧𝐢𝐜𝐞 ᯓᡣ𐭩 Atleta •Taekwondo 🥋 •🥇8𝘹 🥈2𝘹 𝘧𝘳𝘪𝘦𝘯𝘥𝘴! 𝐣 ✈︎ 𝘵𝘬𝘥 💍. 𝘧𝘳𝘪𝘦𝘯𝘥𝘴! 𝐣 ✈︎ 𝘵𝘬𝘥 💍.,4,4,1036,,False,Pública
d22meloo,d22meloo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,10,0 0 15 15 15,0,0,15,,False,Pública
natymonike,natymonike,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,natymonike 1 1 1.384 1.384 2.127 2.127 Natalha Bueno • santo augusto|rs Timóteo 3:14 CTG carreteiro dos pampas -20°RT Natalha Bueno • santo augusto|rs Timóteo 3:14 CTG carreteiro dos pampas -20°RT ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ,1,1,1384,,False,Pública
arthur_tkd31,arthur_tkd31,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,arthur_tkd31 1 1 165 165 469 469 Arthur Maciel Atleta 🥇online 🥈presencial 🥈 presencial Parataekwondo Al... mais Arthur Maciel Atleta 🥇online 🥈presencial 🥈 presencial Parataekwondo Al... mais 🥇online 🥈presencial 🥈 presencial Parataekwondo Al ... mais mais,1,1,165,,False,Pública
cleogodinhotkd,cleogodinhotkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,cleogodinhotkd 119 119 381 381 302 302 Cleo Godinho Taekwondo 🥋 • Professor | Instituto Ceiça Ximenes • Árbitro taekwondo,119,119,381,https://www.threads.com/@cleogodinhotkd?xmt=AQF09xA0nCFy79XafkyMGoyN62HweEO0G96uRmnRuxDvU4o,False,Pública
kimdaiana.rm,kimdaiana.rm,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,61,kimdaiana.rm 28 28 463 463 222 222 Daiana My✨ landscape💞 Frinds💕 moments💫 Tkd💕 My✨ Nails✨ My niece💕 My nephew 💙 My✨ landscape💞 Frinds💕 moments💫 Tkd💕 Nails✨ My niece💕 My nephew 💙,28,28,463,,False,Pública
esquadraotigretaekwondo,esquadraotigretaekwondo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,26,esquadraotigretaekwondo 70 70 228 228 269 269 Esquadrão Tigre Taekwondo Escola de artes marciais ... mais mais,70,70,228,,False,Pública
sobral_lu3,sobral_lu3,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,sobral_lu3 3 3 2.473 2.473 368 368 𝑙𝑢𝑎𝑛𝑎 𝑠𝑜𝑏𝑟𝑎𝑙 •| 𝒶𝓉𝓁ℯ𝓉𝒶 🏊🏼‍♀️ •| 𓆝 𓆟 𓆞 𓆝 𝑙𝑢𝑎𝑛𝑎 𝑠𝑜𝑏𝑟𝑎𝑙 •| 𝒶𝓉𝓁ℯ𝓉𝒶 🏊🏼‍♀️ •| 𓆝 𓆟 𓆞 𓆝,3,3,2473,,False,Pública
