username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,classe
fernandojost_treinador,fernandojost_treinador,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
personaltrainerthiagovieira,personaltrainerthiagovieira,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
davidmarquespersonal,davidmarquespersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
personalfight.ezequielsilva,personalfight.ezequielsilva,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
edvaldo.personal,edvaldo.personal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
liliancordeiropersonal,liliancordeiropersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
isabellaalvespersonal,isabellaalvespersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
marcoriciardipersonal,marcoriciardipersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
lucianodeopersonal,lucianodeopersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
brunolincktreinador,brunolincktreinador,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
feliz_personal,feliz_personal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
marloncarvalhopersonal,marloncarvalhopersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
jorgefernandes_personal,jorgefernandes_personal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
treinador_alexsanderprestes,treinador_alexsanderprestes,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
luziakarenpersonal,luziakarenpersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
kekehpersonal,kekehpersonal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
nailtoncarneiro_personal,nailtoncarneiro_personal,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
eduardo_almeidapersonal,,False,,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
vitor.mesquita_personal,,False,,1,curtidas_completo_cbtkd.oficial.csv,2025-08-28,1,personal_trainer
gilberto_treinador,gilberto_treinador,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,5,personal_trainer
treinadora_rose,treinadora_rose,False,Seguir,1,curtidas_completo_clinicadraleticiakarolline.csv,2025-08-28,1,personal_trainer
leaorafit.personal,leaorafit.personal,False,Seguir,1,curtidas_completo_dra.carolcabrall.csv,2025-08-28,2,personal_trainer
