username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
samuel_barbosaa_,samuel_barbosaa_,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,2
r.goiano_,r.goiano_,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,2
tatymsa,tatymsa,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
deuzelinachagas,deuzelinachagas,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
douglas_a_m,douglas_a_m,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
thesammuk,thesammuk,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
dienyborgescoelho,dienyborgescoelho,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
sophiasousatoc,sophiasousatoc,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
_marialuisaamaral,_marialuisaamaral,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
nylzapinheiro,nylzapinheiro,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
_el1in,_el1in,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
dom.scardoso,dom.scardoso,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
joillma_abreu,joillma_abreu,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
sretocantinopolisoficial,sretocantinopolisoficial,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
gremio.estudantil_cebs,gremio.estudantil_cebs,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
sre.paraiso,sre.paraiso,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
soniamirandapalmas,soniamirandapalmas,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
julianacosta9657,julianacosta9657,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
prof_mateus27,prof_mateus27,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
marilene.miranda.16,marilene.miranda.16,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
wytallo.gabriel.rf,wytallo.gabriel.rf,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
julya_.lopes,julya_.lopes,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
karoldeoliveira,karoldeoliveira,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
rhosellyxavier,rhosellyxavier,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
amandaduvale,amandaduvale,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,2
prof.micheletomaz,prof.micheletomaz,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,3
solbrandaolayla,solbrandaolayla,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
prof2160marciaribeiro,prof2160marciaribeiro,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
shamarashteffany,shamarashteffany,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
rosilene.2021,rosilene.2021,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,2
fenelonzinha,fenelonzinha,False,Seguir,1,curtidas_completo_seductocantins.csv,2025-08-11,1
