data_post,texto_post,username_curtiu,nome_completo_curtiu,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado_extra,status_conta
2024-12-16T18:00:36.000Z,,ativasucesso,ativasucesso,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/290275624_766195254375079_4492874961427903142_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=_UunPMgVgPsQ7kNvwGmoZ7N&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRZp-5z4uxwV7d6edTXjs7zkMvKPOPPZMq7wy3YJJ3k1g&oe=68832B5A&_nc_sid=8809c9,Seguir,"ativasucesso 447 447 2.005 2.005 134 134 ATIVA FM 87.9 Estação de rádio 🎙87,9 | Um sonho no ar! 🎖️Prazer servir a comunidade guaraiense 🔊Música | Entretenimento | Informação radioativa87fm.com Lançamentos Comunidade Música do dia TOP 10 SEMANAL Prog. Mulheres Lançamentos Comunidade Música do dia TOP 10 SEMANAL Prog. Mulheres",447,447,2005,,False,Pública
2024-12-16T18:00:36.000Z,,ana_di8,ana_di8,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/345264859_259023313163757_7643424301780446438_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=gu4awuUmuV4Q7kNvwEkWj1G&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQBxvTQHVOZ8lORIiDpQqDjI5Ivr1zZDpMDPxrY6DuyGQ&oe=6883119A&_nc_sid=8809c9,Seguir,ana_di8 0 0 38 38 187 187 DiAna8,0,0,38,https://www.threads.com/@ana_di8?xmt=AQF0Kq--l8iqzFeFcG8LH5zJlVO2x1EQuBDkjsDzVmuRVJU,False,Pública
2024-12-16T18:00:36.000Z,,thaisvneres,thaisvneres,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/466726856_8808030662617806_3673712837610204445_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=Mbvp6PovTMYQ7kNvwFVlKkW&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSuPo9RSdvkd3585V2zr7yKH6uHqroMsCFtNfysgq0AIA&oe=68833F58&_nc_sid=8809c9,Seguir,thaisvneres 128 128 1.139 1.139 994 994 Thais Neres,128,128,1139,,False,Pública
2024-12-16T18:00:36.000Z,,o_bettinelli,o_bettinelli,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/519676710_18072941375488718_142752777701118575_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=G-btpvAEAxcQ7kNvwFZ-51I&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSjxsY1nzJAaXRaiBdsT1eOUVeVIDzv6NLCXNDosZKW1Q&oe=68832247&_nc_sid=8809c9,Seguir,o_bettinelli 3 3 669 669 547 547 Otor Dias Bettinelli,3,3,669,,False,Pública
2024-12-16T18:00:36.000Z,,renata.mourasimas,renata.mourasimas,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/462468450_9454283527919081_5029128734988277094_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=Y26-6nc6fdwQ7kNvwHbSLXU&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSYa_MXqYFPyMAHgTSVJ-QvFimr3yyiXWKq8BNoMLmxzg&oe=68831106&_nc_sid=8809c9,Seguir,,349,349,4894,,False,Erro inesperado
2024-12-16T18:00:36.000Z,,anappaulaalves30,anappaulaalves30,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/517317683_18418040662102289_6779342722466187860_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=bNpGGWKuopUQ7kNvwF8KOJM&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ_YXOdNC8WgCjN0-RyDaBPYeWfbc2kIgqeavnKakTavQ&oe=6883271C&_nc_sid=8809c9,Seguir,anappaulaalves30 217 217 1.055 1.055 7.446 7.446 Ana Paula Alves 🙏🏼Filha de N. Senhora 🎓ADM 📚Esp. Gestão Empresarial 📚Esp. Liderança Estratégica e Desenv... mais Ana Paula Alves 🙏🏼Filha de N. Senhora 🎓ADM 📚Esp. Gestão Empresarial 📚Esp. Liderança Estratégica e Desenv... mais 🙏🏼Filha de N. Senhora 🎓ADM 📚Esp. Gestão Empresarial 📚Esp. Liderança Estratégica e Desenv ... mais mais,217,217,1055,,False,Pública
2024-12-16T18:00:36.000Z,,janamx,janamx,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/466349556_1243958510059446_2553920367090056893_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=nbDCmDXaHY4Q7kNvwGJHMS1&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ79dw5gSyxdb_f8PY-1e-4nfqOeEgzLy0EtLzn0ttTBA&oe=68830B2B&_nc_sid=8809c9,Seguir,janamx 178 178 713 713 998 998 Janaina Miranda Nunca subestime o poder da fé! 1 Tessalonicenses 5:18 🇻🇦Católica ❤️ Jesus ❤️ Maria Ψ Psicóloga em formação Janaina Miranda Nunca subestime o poder da fé! 1 Tessalonicenses 5:18 🇻🇦Católica ❤️ Jesus ❤️ Maria Ψ Psicóloga em formação,178,178,713,,False,Pública
2024-12-16T18:00:36.000Z,,antonioferreiradm,antonioferreiradm,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/503125991_18509760409059159_2862703847581914480_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=L3_Sg_F05GUQ7kNvwFZWYFa&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfR_HogkAktkwIexVzVwwq1Pi2vhSIB18mqIBa35nbfoBQ&oe=68831B58&_nc_sid=8809c9,Seguir,"antonioferreiradm 66 66 1.408 1.408 706 706 Antônio Ferreira Paraense de ❤️🌎✈️ TO🔃PA 📍 Palmas - TO Vai dar certo! E se não der, a gente tenta de novo. PB RN AL PE TO SP RJ PA MA BSB PB RN AL PE TO SP RJ PA MA BSB",66,66,1408,https://www.threads.com/@antonioferreiradm?xmt=AQF0MxuJ0jOndiGL_8D-k84MXN7wOoXmRTWvg7d5OOSa9rI,False,Pública
2024-12-16T18:00:36.000Z,,drabeatrizcesar,drabeatrizcesar,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/430081343_736519854902864_6453462964292928997_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=YA2W-0sMWoIQ7kNvwG8PUgQ&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSiobgbG9CWc0W-EJ1Ut7-DNXA-3pVeRf4pc8aXVqmvOA&oe=68831EA7&_nc_sid=8809c9,Seguir,linktr.ee/dra.beatrizcesar drabeatrizcesar 148 148 2.812 2.812 1.027 1.027 Dra. Beatriz César | Nutrologia ... mais mais Corrida 🏃🏾‍♀️ Norte Congressos Sudeste Me Perguntas Nutrologia Centro Oeste Desafio M&B Lua ♥️ Nordeste Sul Exterior Treinos Corrida 🏃🏾‍♀️ Norte Congressos Sudeste Me Perguntas Nutrologia Centro Oeste Desafio M&B Lua ♥️ Nordeste Sul Exterior Treinos,148,148,2812,https://www.threads.com/@drabeatrizcesar?xmt=AQF0-HMk7zUGaVthgmb1U79WFMN04liXFSvy7x4u5lHaNu0,False,Pública
2024-12-16T18:00:36.000Z,,millena_azeved0,millena_azeved0,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/517431519_18353677585158051_7242981048137500819_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=k3i0ckiiuNUQ7kNvwEqFam4&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRCL1m1Le29xJM6vvPbtGnI-MC63PBaUIOoV00_bd5eZA&oe=68833D20&_nc_sid=8809c9,Seguir,millena_azeved0 5 5 1.395 1.395 1.394 1.394 Millena Azevedo M. Santos •Administradora 📚 •Especialista em Pequenos Negócios 📉📊 “Tudo Posso Naquele Q Me Fortalece”✨🤍🙏🏽 Victhortavares 💍❤️,5,5,1395,https://www.threads.com/@millena_azeved0?xmt=AQF0jJvFN5vbGa-fjVeh5B6H-femh52DSMtOYe3dwJGzYzY,False,Pública
2024-12-16T18:00:36.000Z,,pazluis2013,pazluis2013,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/476416798_977427790965115_4690537509712492029_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=4zuka-ckL2EQ7kNvwFPWUVD&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQj3lVebft_y5i9DMgPlZjgx_Yy_naZ5iz6sJFZw-stow&oe=68830BA8&_nc_sid=8809c9,Seguir,pazluis2013 48 48 493 493 1.416 1.416 Luis Paz Executivo de Negócios Tv Anhanguera Luis Paz Executivo de Negócios Tv Anhanguera,48,48,493,,False,Pública
2024-12-16T18:00:36.000Z,,wiuryaguiar,wiuryaguiar,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/459163448_1478738079448739_7298445900920861919_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=Zx6g0zs_6zUQ7kNvwGg_O0-&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfSY0sMHw-PmSu1_kpfKlGjFc2lH53VitoRYPGGVy_p_zA&oe=68831AED&_nc_sid=8809c9,Seguir,wiuryaguiar 48 48 669 669 959 959 Wiury Aguiar 🌎 Palmas-TO Runner 👣🏃🏊 Apaixonado por motociclismo Wiury Aguiar 🌎 Palmas-TO Runner 👣🏃🏊 Apaixonado por motociclismo,48,48,669,,False,Pública
2024-12-16T18:00:36.000Z,,nilvasoniadias,nilvasoniadias,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/480182163_955239056579371_1005469502067306853_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=LcBCilRcEtkQ7kNvwF75wVE&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfT-Gt2fteyuybaxF-75gYVfMjJpxMxonZa6rzRH9T413A&oe=68833B5A&_nc_sid=8809c9,Seguir,nilvasoniadias 15 15 109 109 156 156 Nilva Sônia,15,15,109,,False,Pública
2024-12-16T18:00:36.000Z,,hidesenna,hidesenna,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/36824368_203384613838079_6818292262078775296_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=-WsbkJNpk7kQ7kNvwEOm8pq&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTmdXHvU_50rnQhFzny3CYDZrs9Gp82sgyDEc-ImiF-mw&oe=688320D5&_nc_sid=8809c9,Seguir,hidesenna 20 20 885 885 2.092 2.092 Hide Senna Graduada em Letras; Pós-graduada em Gestão de Pessoas; Pós-graduada em Psicologia Positiva no Desenv. Humano; Analista... mais Graduada em Letras; Pós-graduada em Gestão de Pessoas; Pós-graduada em Psicologia Positiva no Desenv. Humano; Analista ... mais mais www.linkedin.com/posts/hid%C3%AA-senna-de-sousa-soares-01492712a_activity-6754779080073342976-Xqp9,20,20,885,https://www.threads.com/@hidesenna?xmt=AQF0d2hf22lZWcOYkuPK8l8xf6NVUK8FglzwnKufoiVOL9c,False,Pública
2024-12-16T18:00:36.000Z,,lucianocosta1788,lucianocosta1788,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/496226444_18268770088278383_7957582777246155750_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=VLwVHfuqSiEQ7kNvwHFkeiv&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfS-VxfPd0KkmRQtjr7fDgqR71e_sm6Lr6iE3CizgRodFA&oe=68833C4B&_nc_sid=8809c9,Seguir,,69,69,649,,False,Erro inesperado
