username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta,foto_perfil,categoria,nome_completo,conta_comercial,destaque_stories,posts_recentes,engajamento_medio
hellisanny,,False,,0,clinicaimedconfresa.csv,2025-08-02,9,hellisanny 59 59 1.381 1.381 1.441 1.441 Hellisanny Santos Zany,59,59,1381,,False,Pública,0,,,False,0,0,0
marcelyafarizelli,,False,,0,clinicaimedconfresa.csv,2025-08-02,2,"marcelyafarizelli 132 132 1.112 1.112 3.370 3.370 Marcelya Farizelli O Deus que surpreende,que me ensina sempre que eu preciso confiar mesmo sem compreender.........",132,132,1112,https://www.threads.com/@marcelyafarizelli?xmt=AQF0k-L4zgFjFPtmO6QRZacelzxTH5xy-srS3fOCvecHNbI,False,Pública,0,,,False,0,0,0
luanahack_,,False,,0,clinicaimedconfresa.csv,2025-08-02,2,luanahack_ 9 9 721 721 173 173 𝐿𝑈𝐴𝑁𝐴 𝐻𝐴𝐶𝐾,9,9,721,,False,Pública,0,,,False,0,0,0
glaucyaesther,,False,,0,clinicaimedconfresa.csv,2025-08-02,4,glaucyaesther 84 84 647 647 921 921 Glaucya Esther,84,84,647,,False,Pública,0,,,False,0,0,0
maiyara.quiel,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,maiyara.quiel 131 131 1.339 1.339 4.317 4.317 Maiyara,131,131,1339,,False,Pública,0,,,False,0,0,0
clevia_ribeiro,,False,,0,clinicaimedconfresa.csv,2025-08-02,5,clevia_ribeiro 55 55 993 993 2.703 2.703 clevia ribeiro 🏡 canabrava Casada ❤️ . Lembre-se: o impossível é apenas uma das especialidades de Deus. natureza 🥰 Destaques natureza 🥰 Destaques,55,55,993,https://www.threads.com/@clevia_ribeiro?xmt=AQF051zb7R7X4uZpCmYLO40nISi20I23WVIplW6iKGQ58xI,False,Pública,0,,,False,0,0,0
estefane_silva1803,,False,,0,clinicaimedconfresa.csv,2025-08-02,3,estefane_silva1803 16 16 1.741 1.741 2.579 2.579 Esther Silva II mamãe do príncipe Victor Alexandre ❤️ Esther Silva II mamãe do príncipe Victor Alexandre ❤️,16,16,1741,,False,Pública,0,,,False,0,0,0
anatania91,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,anatania91 29 29 422 422 988 988 Ana Tânia Ribeiro Josiel 💍 Ana Tânia Ribeiro Josiel 💍 Destaques Destaques Destaques Destaques,29,29,422,,False,Pública,0,,,False,0,0,0
clinicaimedconfresa,,False,,0,clinicaimedconfresa.csv,2025-08-02,2,clinicaimedconfresa 190 190 1.744 1.744 565 565 Imed Confresa 📍Confresa-MT 🩺 Centro médico 🩸 Consultas e exames 👨‍🔬 Profissionais Qualificados 🔬 Diagnóstico e Tratamento... mais linktr.ee/imedconfresa e mais 1 Imed Confresa 📍Confresa-MT 🩺 Centro médico 🩸 Consultas e exames 👨‍🔬 Profissionais Qualificados 🔬 Diagnóstico e Tratamento... mais 📍Confresa-MT 🩺 Centro médico 🩸 Consultas e exames 👨‍🔬 Profissionais Qualificados 🔬 Diagnóstico e Tratamento ... mais mais linktr.ee/imedconfresa e mais 1,190,190,1744,,False,Pública,0,,,False,0,0,0
_jussaramacedo_,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,_jussaramacedo_ 90 90 352 352 952 952 Jussara Macedo Mamãe da Isabelle👸💕 Virginiana♍ Dinda da Gigi👸❤,90,90,352,https://www.threads.com/@_jussaramacedo_?xmt=AQF07vTe_iXpGyDZSf1dgtFM5SUwIqU5ROlFGVKsaSE-pPw,False,Pública,0,,,False,0,0,0
eniogomessantos,,False,,0,clinicaimedconfresa.csv,2025-08-02,2,eniogomessantos 12 12 8.916 8.916 4.437 4.437 ENIO.G 📍PROMOTOR DE VENDAS GAZIN 📍FL312 📌consorcios 📌seguro residencial 📌 e... mais 📍PROMOTOR DE VENDAS GAZIN 📍FL312 📌consorcios 📌seguro residencial 📌 e ... mais mais wa.me/5566981097355,12,12,8916,,False,Pública,0,,,False,0,0,0
cleasouza2024,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,cleasouza2024 2 2 89 89 366 366 Oliveira,2,2,89,,False,Pública,0,,,False,0,0,0
keyllasilva240,,False,,0,clinicaimedconfresa.csv,2025-08-02,2,,3,3,378,,False,Erro inesperado,0,,,False,0,0,0
yessa_sindhey,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,"yessa_sindhey 12 12 929 929 582 582 Yêssa Sindhey💕 BA/MT📍 seja de verdade, em tudo que você faz. Provérbios 16:3✨️ Yêssa Sindhey💕 BA/MT📍 seja de verdade, em tudo que você faz. Provérbios 16:3✨️",12,12,929,,False,Pública,0,,,False,0,0,0
anabeatriz_masson,,False,,0,clinicaimedconfresa.csv,2025-08-02,15,,43,43,4277,,False,Erro inesperado,0,,,False,0,0,0
daniimidias,,False,,0,clinicaimedconfresa.csv,2025-08-02,16,daniimidias 17 17 352 352 31 31 Daniella | Designer & Social Media Transformo negócios em marcas fortes Design com propósito e conteúdo que atrai Sua mudança começa aqui↙️ wa.me/message/HZUFNBZNPTE3N1 Clientes SM lifestyle Bastidores O que dizem Serviços Clientes SM lifestyle Bastidores O que dizem Serviços,17,17,352,https://www.threads.com/@daniimidias?xmt=AQF0DYRwkF2wIWqWDRA40XYHKV2swcDqHs79QpRGbQtVvDI,False,Pública,0,,,False,0,0,0
ph155895,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,ph155895 2 2 543 543 2.645 2.645 Pedro Henrique Aut Viam Inventam Aut Façam.,2,2,543,https://www.threads.com/@ph155895?xmt=AQF09_rSeroRZq53hSubjq0GCq2gX1UOL9QTHnCuL43BJWs,False,Pública,0,,,False,0,0,0
zana_lima_,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,zana_lima_ 14 14 455 455 585 585 Rosangela Rodrigues Destaques,14,14,455,https://www.threads.com/@zana_lima_?xmt=AQF0QXa9AjVC27rWaJ4a9n4P024Gfh0Z8qazWHXBCc-8MpU,False,Pública,0,,,False,0,0,0
erinaldo.gg,,False,,0,clinicaimedconfresa.csv,2025-08-02,8,"erinaldo.gg 2.067 2.067 36,6 mil 36,6 mil 7.016 7.016 ERINALDO GG | INFLUENCIADOR DO ARAGUAIA! Figura pública Erinaldo Silva Melo",2067,2067,36600,https://www.threads.com/@erinaldo.gg?xmt=AQF0id0VBblAvL5NQYZVGgNsWE2ElcCQM1tE60jdIp9MFDw,False,Pública,0,,,False,0,0,0
valcienisoares,,False,,0,clinicaimedconfresa.csv,2025-08-02,13,valcienisoares 69 69 945 945 749 749 Val Costa,69,69,945,,False,Pública,0,,,False,0,0,0
cleonicesilva809,,False,,0,clinicaimedconfresa.csv,2025-08-02,1,cleonicesilva809 2 2 145 145 718 718 cleonice silva,2,2,145,,False,Pública,0,,,False,0,0,0
brandcaremarketingmedico,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,62,,1338,1338,8629,,False,Erro inesperado,0,,,False,0,0,0
alaricomello,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,51,alaricomello 1 1 365 365 1.050 1.050 José Alarico,1,1,365,https://www.threads.com/@alaricomello?xmt=AQF0nPkULvbPq7EW2Gb3NHkILho_OCJlIETWGeb84KZgcmQ,False,Pública,0,,,False,0,0,0
veronica_aquino6,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,21,,46,46,1175,,False,Erro inesperado,0,,,False,0,0,0
draannaleticiamello,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,51,draannaleticiamello 309 309 1.308 1.308 1.442 1.442 Anna Leticia Mello Médica Cardiologista e Clínica Médica. Centro de Cardiologia Integrada @centrodecardiologiaintegrada Anna Leticia Mello Médica Cardiologista e Clínica Médica. Centro de Cardiologia Integrada @centrodecardiologiaintegrada,309,309,1308,,False,Pública,0,,,False,0,0,0
