username,nome_completo,verificado,url_foto_perfil,status_relacao
orkestragestao,orkestragestao,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/521948386_17887067046302701_3138860529133745338_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=6wbsphfX7iAQ7kNvwE-PkaK&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ6xWjDvqTN1DRErFjjIgIixiMTZQ5FCNZPaT4ARR-vEA&oe=688802E1&_nc_sid=6ff7c8,Seguir
_yass_maracaipe,_yass_maracaipe,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/519100258_17875863354376284_2468071065290848566_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=LCX3GaOi2MUQ7kNvwFfGBGs&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT2RDGNK9OiG0HrCZ1YcdmQflKJakC8Imp-DIfjmL-G5g&oe=6887E9BE&_nc_sid=6ff7c8,Seguir
amordimorango,amordimorango,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/522212063_17845171371535743_4530068084310537717_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45ODQuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=H1HoA6gU7XcQ7kNvwFGtZEB&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR556jWa4dnHKmfzLIH_NBKPqwUSOFAcPhMctBiwLAfOg&oe=6887E2B0&_nc_sid=6ff7c8,Seguir
gabyh_alcantera,gabyh_alcantera,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/468290250_566595332686749_8926346169215622142_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=cm1XJ1ghDGQQ7kNvwH-p9C0&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQn_O8l4C0d5sh30ucq4K6VvudmjEpfYyjJBy4wf0QC7Q&oe=6887DCDE&_nc_sid=6ff7c8,Seguir
rebeca_shalana,rebeca_shalana,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/470986006_1408891363408243_2960540133612790266_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=fhDUO1t8nSkQ7kNvwFkhoSW&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS1UtWdrcG_J_aWJhg2Ue_ObORfaGOctuktNf3nIdZQkg&oe=688802A2&_nc_sid=6ff7c8,Seguir
naralustosaa,naralustosaa,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/470984486_1277561933366947_111973537654256684_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45MDEuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=jLcvZtjPWw4Q7kNvwEAsqp8&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfThowiOk9FN8S79TX33FXwO6Kl9pdeakFvbgImbnnt6cw&oe=688803CE&_nc_sid=6ff7c8,Seguir
laryssacarvalhoimoveis,laryssacarvalhoimoveis,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/502311994_17842989387525663_6627762615519998814_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=zOlnhRQt6OwQ7kNvwE23GCp&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS_1iBOwpV421DLzV4fe5NW6opz3hx-ADGmRC1w43mgYA&oe=6887E861&_nc_sid=6ff7c8,Seguir
luvieira_rodrigues,luvieira_rodrigues,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/451404463_1020845082916590_4658810272815184013_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDc5LmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=L27LG7JpUl8Q7kNvwHtVb-L&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR34P-ggNmir5PKh7fhzsb2xzJZbjITXJX5b6gJZvC7hw&oe=68880C92&_nc_sid=6ff7c8,Seguir
kevilly_castro_,kevilly_castro_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/514768818_17971155281869044_5240326420320723173_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=FxC785XqqrcQ7kNvwG4cE4_&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS7ycmk_QyOrrHTLu9yplMzS_bdbmEDoHjQv8B_58XQiA&oe=68880DE3&_nc_sid=6ff7c8,Seguir
sarajordanafonseca,sarajordanafonseca,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/522713335_18368784859198597_7141857624008079416_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MjguYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHkd_NqEZcaTvbraGFhdP4z_ial4uIaTaJOLVT7zTC_8apQUsIijvFTYMvF2x6LPOc&_nc_ohc=obhYSQmUI20Q7kNvwHTTVSF&_nc_gid=bnJreMDj4ETd5Dhj1McmdQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT1kvvIZBbgo8aOUJik0XZ0i5GLKPexZ5U8NqL6AwXY5g&oe=68880FD9&_nc_sid=6ff7c8,Seguir
