username,nome_completo,verificado,url_foto_perfil,status_relacao
elencristine___,elencristine___,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/517016002_18530335255032506_6784987577216455131_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=rWc-eRNruQ0Q7kNvwFPMB8K&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSkBPCFULDbg_UBaohuaIfgAd9ceYu0RUZk-_CiAgp07g&oe=688454BB&_nc_sid=6ff7c8,Seguir
karinalima251998,karinalima251998,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/504239458_17885089839282304_1217430368183924318_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=Ngb7mo8h6jgQ7kNvwFFhzEW&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSRhEpzWh-q4csArKYjXePdtnmFynGRiFuQ93R4Cphzfg&oe=68846508&_nc_sid=6ff7c8,Seguir
aamandaamirandaa,aamandaamirandaa,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/487385356_614712908235566_1036007972587381056_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=Vxq1Cl-YbFsQ7kNvwHtZUpz&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS-85PLO0MVfIpzu-TxGrn5i7WA-g9f2JehQqArWWmdJQ&oe=688462BE&_nc_sid=6ff7c8,Seguir
gislainesouza10,gislainesouza10,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/235543124_120576290306988_8750649754176005523_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGOFif-ICqgHWWpHgjZWU90VR5brO4L-V8kEZv43IUOsTGYk3tHBEKV-kueQ9Xnr-0&_nc_ohc=SJ38Z3XnNCMQ7kNvwGZFbLP&_nc_gid=5p2SBL5BTWGehdG9cUn0iw&edm=ACE-g0gBAAAA&ccb=7-5&oh=00_AfQgAhzdaJkZ_BBPwmdaZhMatzzUQqvqArqDww59sjWTUA&oe=68844D8C&_nc_sid=b15361,Seguindo
thais.vieiraaguiar,thais.vieiraaguiar,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/283751702_3343382719218276_2337066192431299024_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=0nS-wxoIbx4Q7kNvwFnsxZv&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRrglllsxTLswpMwGk8G2LSTPRjVUp2g53f-VUixEzn4A&oe=688451A8&_nc_sid=6ff7c8,Seguindo
sofiasoaresduarte,sofiasoaresduarte,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/494686908_18358098184183431_1674053373269121311_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGOFif-ICqgHWWpHgjZWU90VR5brO4L-V8kEZv43IUOsTGYk3tHBEKV-kueQ9Xnr-0&_nc_ohc=r9VyeerYOo8Q7kNvwF5mcaU&_nc_gid=5p2SBL5BTWGehdG9cUn0iw&edm=ACE-g0gBAAAA&ccb=7-5&oh=00_AfT_SjF21g3oOHv1X7UzCjbs9u2sQpAxQFaR6N5OIq_veQ&oe=68843B86&_nc_sid=b15361,Seguindo
blourrayne,blourrayne,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/491448069_1720101462183818_305139374744441975_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=Q_DurswK-7wQ7kNvwFm8NaI&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRiweEcq4xntK1JqyR05E-KID1fLKWggNE12n4GLay8cQ&oe=68843D67&_nc_sid=6ff7c8,Seguir
lemes_tamiris,lemes_tamiris,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/484591678_657401116789449_4264022735344875170_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=RgnFvMzrM_MQ7kNvwH0KbCM&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT-uAEPmCwRQk3Ej5d3zIAS5dbBoZx93N4V5HFdTPzEzw&oe=68846728&_nc_sid=6ff7c8,Seguir
diogenesgoncalvesstreinador,diogenesgoncalvesstreinador,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/465492290_1223912288873365_8107420725347447573_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHdMXDzOPLLpHvdc0ryIKL1AtpvhrAzv4dy8M9NHj9K2l8t-mnGkPIYH1Nygd0_YKw&_nc_ohc=CR_CjIOZhgsQ7kNvwFDDztO&_nc_gid=AV4r0olQ7gZ5y0ovbxsUhQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRnHEiUWgrV2D2cQTo_cABviW4fIYx4_dv7GuKJgkWPjQ&oe=68845C53&_nc_sid=6ff7c8,Seguir
vanilsonmartins10,vanilsonmartins10,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/516946253_18012659594750976_2125575824737157377_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHSUHASbOGz7bMo8XRKUEuYqd2-D_CODI3GKqn5YkFLllplqynnknSyf_9Mac0je7c&_nc_ohc=nJaovQzZVyoQ7kNvwHh1CPR&_nc_gid=DTrrHKu5T3JgE3pkW23DVA&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfTXUNatlXvRaOvci_TTdqoOfHBvKGqyOSKVeSXH7_bIUQ&oe=6884377F&_nc_sid=22de04,Seguindo
