username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes
glauciene.oliveira.3,glauciene.oliveira.3,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,2
o_comendador_gustavo_borges,o_comendador_gustavo_borges,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
lhluizmartins,lhluizmartins,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,3
felipe.zombie,felipe.zombie,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
_vianna_vi,_vianna_vi,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,2
marelizarodrigues,marelizarodrigues,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,17
s.antoshy_,s.antoshy_,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,3
_carlos_062___,_carlos_062___,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
nutcamillapires,nutcamillapires,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
vitormzsousa,vitormzsousa,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,10
alicebsj0108,alicebsj0108,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,8
lanalineraio,lanalineraio,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,6
nuredi_seduc,nuredi_seduc,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,24
aninha2019_l,aninha2019_l,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
jose.cunha__,jose.cunha__,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,12
hellencampos__,hellencampos__,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,2
antoniarosario867,antoniarosario867,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,9
https__santox__,https__santox__,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,4
rupertadv,rupertadv,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,30
ka.yun0109,ka.yun0109,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
wendelvuv,wendelvuv,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,27
cesms_,cesms_,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,2
maluxz__silvxw,maluxz__silvxw,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
obedio_farias_62,obedio_farias_62,False,Seguir,1,curtidas_completo_seducgoias.csv,2025-08-12,1
