username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
leandro_maff,leandro_maff,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,leandro_maff 282 282 1.249 1.249 1.299 1.299 Leandro Maffezzoli Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa... mais Leandro Maffezzoli Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa... mais Atleta de Tae Kwon Do 12 vezes Campeão Estadual🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 Bi Campeão Brasileiro 🥇🥇 Brasileiro Interclubes 🥇 Copa ... mais mais Atletismo Tae Kwon Do Deus Criancinhas filhos A opção é sua! Motivação natureza/casa Obra Prima Deus Atletismo Tae Kwon Do Deus Criancinhas filhos A opção é sua! Motivação natureza/casa Obra Prima,282,282,1249,,False,Pública
mdm143p,mdm143p,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,mdm143p 6 6 223 223 639 639 Enzo Atleta 12y 👑 💎 👑 💎,6,6,223,https://www.threads.com/@mdm143p?xmt=AQF0pqWoQgdXjPqUtvf3mv0Dbc-s1hZjqQs4n7aD08agM7E,False,Pública
e_areaowx,e_areaowx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,e_areaowx 1 1 127 127 89 89 𝓔. Atleta 𝕰𝖌𝖔,1,1,127,,False,Pública
marinaa.tkd,marinaa.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,marinaa.tkd 36 36 865 865 894 894 𝙼𝚊𝚛𝚒𝚗𝚊 𝙶𝚘𝚖𝚎𝚜 𝚅. 𝚍𝚎 𝙰. 𝚁𝚘𝚍𝚛𝚒𝚐𝚞𝚎𝚜 🐿️ Atleta 🩵 🌤️ Tkd Pan’25 Gymnasiade24 Parceria DISNEY•SPRINGS UNIVERSAL•2 UNIVERSAL•1 ANIMAL•KINGDOM EPCOT H•STUDIOS MAGIC•KINGDOM Pan’24 🩵 🌤️ Tkd Pan’25 Gymnasiade24 Parceria DISNEY•SPRINGS UNIVERSAL•2 UNIVERSAL•1 ANIMAL•KINGDOM EPCOT H•STUDIOS MAGIC•KINGDOM Pan’24,36,36,865,,False,Pública
_sschischof,_sschischof,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,11,"_sschischof 1 1 495 495 312 312 Alexandre Gabriel 📍 Curitiba, pr Boxing and Taekwondo athlete Alexandre Gabriel 📍 Curitiba, pr Boxing and Taekwondo athlete",1,1,495,,False,Pública
ariel_silva_tkd,ariel_silva_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,ariel_silva_tkd 44 44 1.502 1.502 735 735 Silva Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop... mais Silva Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop... mais Atleta Taekwondo🥋 🇧🇷| Seleção Baiana campeão estadual 8x🥇 Cop ... mais mais Taekwondo Me Maquinas🚀 Momentos Taekwondo Me Maquinas🚀 Momentos,44,44,1502,,False,Pública
henrique_lacerda_ibjj,henrique_lacerda_ibjj,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,henrique_lacerda_ibjj 40 40 167 167 95 95 Henrique Lacerda | BOXE JIU-JITSU TAEKWONDO KICKBOXING chat.whatsapp.com/E7LDyrgWl18DqRvE2icLEr e mais 1 Destaques BOXE OLD SCHOOL E.P.I Destaques JIU-JITSU TAEKWONDO MANOPLA ESCUDO BOXE SCHOOL BOXE RED TEAM LACERDA BOXE Destaques BOXE OLD SCHOOL E.P.I JIU-JITSU TAEKWONDO MANOPLA ESCUDO BOXE SCHOOL BOXE RED TEAM LACERDA,40,40,167,,False,Pública
janice_tkd,janice_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,16,janice_tkd 4 4 1.035 1.035 294 294 𝐉𝐚𝐧𝐢𝐜𝐞 ᯓᡣ𐭩 Atleta •Taekwondo 🥋 •🥇8𝘹 🥈2𝘹 𝐉𝐚𝐧𝐢𝐜𝐞 ᯓᡣ𐭩 Atleta •Taekwondo 🥋 •🥇8𝘹 🥈2𝘹 𝐣 𝘧𝘳𝘪𝘦𝘯𝘥𝘴! ✈︎ 𝘵𝘬𝘥 💍. 𝐣 𝘧𝘳𝘪𝘦𝘯𝘥𝘴! ✈︎ 𝘵𝘬𝘥 💍.,4,4,1035,,False,Pública
d22meloo,d22meloo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,10,0 0 15 15 15,0,0,15,,False,Pública
natymonike,natymonike,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,natymonike 1 1 1.384 1.384 2.128 2.128 Natalha Bueno • santo augusto|rs Timóteo 3:14 CTG carreteiro dos pampas -20°RT Natalha Bueno • santo augusto|rs Timóteo 3:14 CTG carreteiro dos pampas -20°RT ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ,1,1,1384,,False,Pública
arthur_tkd31,arthur_tkd31,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,arthur_tkd31 1 1 168 168 474 474 Arthur Maciel Atleta 🥇online 🥈presencial 🥈 presencial Parataekwondo Al... mais Arthur Maciel Atleta 🥇online 🥈presencial 🥈 presencial Parataekwondo Al... mais 🥇online 🥈presencial 🥈 presencial Parataekwondo Al ... mais mais,1,1,168,,False,Pública
cleogodinhotkd,cleogodinhotkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,cleogodinhotkd 119 119 382 382 302 302 Cleo Godinho Taekwondo 🥋 • Professor | Instituto Ceiça Ximenes • Árbitro taekwondo,119,119,382,https://www.threads.com/@cleogodinhotkd?xmt=AQF0J9T09QKjub03wHWBGePC501LrTNt1cjpixV76WcuBZg,False,Pública
kimdaiana.rm,kimdaiana.rm,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,61,kimdaiana.rm 29 29 463 463 222 222 Daiana My✨ landscape💞 Frinds💕 moments💫 Tkd💕 My✨ Nails✨ My niece💕 My nephew 💙 My✨ landscape💞 Frinds💕 moments💫 Tkd💕 Nails✨ My niece💕 My nephew 💙,29,29,463,,False,Pública
esquadraotigretaekwondo,esquadraotigretaekwondo,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,26,esquadraotigretaekwondo 71 71 230 230 270 270 Esquadrão Tigre Taekwondo Escola de artes marciais ... mais mais,71,71,230,,False,Pública
sobral_lu3,sobral_lu3,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,sobral_lu3 3 3 2.469 2.469 367 367 𝑙𝑢𝑎𝑛𝑎 𝑠𝑜𝑏𝑟𝑎𝑙 •| 𝒶𝓉𝓁ℯ𝓉𝒶 🏊🏼‍♀️ •| 𓆝 𓆟 𓆞 𓆝 𝑙𝑢𝑎𝑛𝑎 𝑠𝑜𝑏𝑟𝑎𝑙 •| 𝒶𝓉𝓁ℯ𝓉𝒶 🏊🏼‍♀️ •| 𓆝 𓆟 𓆞 𓆝,3,3,2469,,False,Pública
kakau_tkd,kakau_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,11,kakau_tkd 78 78 1.105 1.105 579 579 Carlos Ferreira • 🐎⚔️ 📍MARGINAL ALADO ✊🏿 📍FAIXA PRETA | 1° DAN ➰ 📍PB 🌵❤️,78,78,1105,https://www.threads.com/@kakau_tkd?xmt=AQF0qKWieCtJgdWye_IN9yEr5OG13BBC0PnDrBXxon2mojE,False,Pública
mestracristiane_souzatkd,mestracristiane_souzatkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,mestracristiane_souzatkd 236 236 1.983 1.983 1.453 1.453 Mestra Cristiane Souza Criador(a) de conteúdo digital Ms: 4°Dan TKD Transformando vida atravez do TKD Arbitra Nacional Poomsae CBTKD Atleta de Poomsae... mais Ms: 4°Dan TKD Transformando vida atravez do TKD Arbitra Nacional Poomsae CBTKD Atleta de Poomsae ... mais mais tkd na escola Campeonato-PE campeonato projeto social acad:qualitylife seminário tkd na escola Campeonato-PE campeonato projeto social acad:qualitylife seminário,236,236,1983,https://www.threads.com/@mestracristiane_souzatkd?xmt=AQF0QHcvDHuGDkHcy-3bIzQ2UC0KHUMuaR1aLM1XkFe7asc,False,Pública
pvdd._barella,pvdd._barella,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,pvdd._barella 2 2 110 110 126 126 Alana,2,2,110,,False,Pública
marisedamazio2025,marisedamazio2025,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,marisedamazio2025 1 1 52 52 98 98 Marise Damazio Teresópolis/RJ 🌳 Amo meus filhos ♥️ Salmos 91📖 Marise Damazio Teresópolis/RJ 🌳 Amo meus filhos ♥️ Salmos 91📖,1,1,52,,False,Pública
yrguell,yrguell,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,19,yrguell 3 3 382 382 617 617 miguelltkd_,3,3,382,,False,Pública
