username,nome_completo,verificado,url_foto_perfil,status_relacao
aictkd,aictkd,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/83895621_504437206878369_577320733605101568_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=1jiqFjqQJs8Q7kNvwG_kflr&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfScC_P6hksoX18X8ubxZcgbLfSASjPO0tPT8GzLNWSDng&oe=68801066&_nc_sid=6ff7c8,Seguir
rafaelraalencar,rafaelraalencar,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/496819124_17910117336141892_8370619434194920844_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=hvS5IhAdcSkQ7kNvwGg9rJl&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRkP-g5Tqzwz8JETUi_HmrGadginvu2TM0K_LMG-iHKwg&oe=68801AEF&_nc_sid=6ff7c8,Seguir
fotospormajuh,fotospormajuh,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/469149056_492296106731816_7876504230977646969_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=Gkh459QEvpUQ7kNvwHFOhd6&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRsU4Wv0_BWL-hoqkTGpeNZX95CVmt6cj5hdHusg_7jww&oe=68801E96&_nc_sid=6ff7c8,Seguir
ramilodepaula,ramilodepaula,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/262513053_455753002576731_3682674415098424293_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=6-cEtKV1RCMQ7kNvwECL-T0&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ91etptE0XZwM05Jd_FujdoMi308OyNstu67aCyNnvGQ&oe=6880151C&_nc_sid=6ff7c8,Seguir
luanah,luanah,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/518002040_18520167637027977_6923709170980818719_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=tVKMzvql84oQ7kNvwHDoEPW&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfS4W7MtBrPOGK8ABzcIKbhx2MRtuZPfg3bSq4QKWeYtXg&oe=687FF4CE&_nc_sid=6ff7c8,Seguir
wesle.marques,wesle.marques,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/514298169_17914839396137340_514116395128625831_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=mtx7Tn8bxpAQ7kNvwG0vTkg&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQaYqx9P_uhSCIyJUWJzJ7a-rbUBpoqfIwmXSLKD5KfOA&oe=687FFF7C&_nc_sid=6ff7c8,Seguir
jefdosc,jefdosc,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/511478148_18520531621016687_1693814904669845061_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=ZjxBtV0uSD4Q7kNvwFK6KC6&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTynq7zMuhtTqxcxdnjChnkasxIf6LE0yy_4DCV5YZ0og&oe=688008AE&_nc_sid=6ff7c8,Seguir
wanessa_isidorio,wanessa_isidorio,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/470987736_1907348499792216_7972885716475915779_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=udAMhzR2LasQ7kNvwF4D4Y8&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQM6mjMgeWjYfwRBx_hBYvUkim0E5y4N66LUd_ngOd4cQ&oe=687FFAC2&_nc_sid=6ff7c8,Seguir
ghqguaranahighquality,ghqguaranahighquality,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/442440172_1577901486114172_7881146329435001539_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=8netpTljHCsQ7kNvwFmJ4hv&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSqMtejFNrt6oJ1KFCY_iI_V_G5zHp1FigEM-JYyfmiMg&oe=68800643&_nc_sid=6ff7c8,Seguir
tainarafilms,tainarafilms,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/504088124_17924237640081956_2053392171917924082_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QF3ImtUK3EBXTiGt6zJf0iszPbjarQXqM7hskHsipQmWyh1O0AeDtkcZFjssO_3U7rrZFyIFS3gbU-6vrZ5b_KH&_nc_ohc=BWDUKDGB2pQQ7kNvwEr9jmS&_nc_gid=Y3unUNhpS6Giegg4E8P5zA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQwghGFpo6LfCmWc-2ah1vTp177UzuTxlEqVUqI1v90zQ&oe=68801E5B&_nc_sid=6ff7c8,Seguir
